,ID,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,151404,161290,4096,1302,3.1459293394777266,0.31787109375,0.68212890625,87.2517099069129
1,2,38613,42292,4096,1527,2.6823837590045843,0.372802734375,0.627197265625,101.347325380136
2,3,38283,38974,4096,1297,3.1580570547417115,0.316650390625,0.683349609375,86.95977460917223
3,4,49392,51758,4096,1942,2.109165808444902,0.47412109375,0.52587890625,133.99571562859697
4,5,45522,48931,4096,1759,2.328595793064241,0.429443359375,0.570556640625,118.30603429339723
5,6,26220,29248,4096,908,4.511013215859031,0.22167968749999997,0.7783203125,66.37806421964872
6,7,41611,44118,4096,1601,2.5584009993753902,0.390869140625,0.609130859375,106.4529144691976
7,8,39545,40498,4096,1488,2.752688172043011,0.36328124999999994,0.63671875,98.75782883581144
8,9,43035,45692,4096,1705,2.4023460410557185,0.416259765625,0.583740234375,114.09718960834584
9,10,35504,36988,4096,1490,2.748993288590604,0.36376953125,0.63623046875,98.88900499292517
10,11,41611,42232,4096,1618,2.5315203955500616,0.39501953125000006,0.60498046875,107.66347899523696
11,12,39014,39555,4096,1513,2.7072042300066093,0.369384765625,0.630615234375,100.41002907994887
12,13,38994,39566,4096,1685,2.430860534124629,0.411376953125,0.588623046875,112.58151020399438
13,14,34502,38222,4096,1457,2.8112560054907343,0.355712890625,0.644287109375,96.74629062076009
14,15,37079,37691,4096,1339,3.0589992531740107,0.326904296875,0.673095703125,89.43841272507736
15,16,34993,38954,4096,1227,3.3382233088834554,0.299560546875,0.700439453125,82.95734836971704
16,17,33158,34352,4096,1302,3.1459293394777266,0.31787109375,0.68212890625,87.2517099069129
17,18,38904,39475,4096,1431,2.8623340321453528,0.349365234375,0.650634765625,95.08981063309282
18,19,36748,37560,4096,1418,2.8885754583921015,0.34619140625,0.65380859375,94.27172391018995
19,20,34412,34963,4096,1454,2.8170563961485557,0.35498046875,0.64501953125,96.55375429206931
20,21,45061,45692,4096,1869,2.1915462814339217,0.45629882812500006,0.543701171875,127.45228402373489
21,22,39495,40408,4096,1534,2.6701434159061277,0.37451171875,0.62548828125,101.81928822662903
22,23,38092,38823,4096,1689,2.4251036116044995,0.41235351562500006,0.587646484375,112.88283863086124
23,24,39215,39957,4096,1482,2.7638326585695006,0.36181640625,0.63818359375,98.36532945861816
24,25,42323,42974,4096,1728,2.3703703703703702,0.421875,0.578125,115.86864989274024
25,26,44679,46564,4096,1883,2.1752522570366435,0.45971679687500006,0.540283203125,128.6761757108044
26,27,37270,38061,4096,1696,2.4150943396226414,0.4140625,0.5859375,113.41232913179007
