ВМ 1: время

+----------+----------------+
| Страница | Обработка (нс) |
+----------+----------------+
|    1     |     223125     |
|    2     |     128629     |
|    3     |     110656     |
|    4     |     94256      |
|    5     |     22241      |
|    6     |     86941      |
|    7     |     41618      |
|    8     |     22051      |
|    9     |     32470      |
|    10    |     21680      |
|    11    |     48480      |
|    12    |     79759      |
|    13    |     22051      |
|    14    |     52828      |
|    15    |     61013      |
|    16    |     91140      |
|    17    |     80981      |
|    18    |     89557      |
|    19    |     50063      |
|    20    |     50764      |
|    21    |     96650      |
|    22    |     60192      |
|    23    |     21971      |
|    24    |     113130     |
|    25    |     44312      |
|    26    |     41417      |
|    27    |     96740      |
|    28    |     39794      |
|    29    |     32881      |
|    30    |     144169     |
|    31    |     22321      |
|    32    |     116667     |
|    33    |     51305      |
|    34    |     107150     |
|    35    |     60963      |
|    36    |     43411      |
|    37    |     21920      |
|    38    |     90619      |
|    39    |     47919      |
|    40    |     91450      |
|    41    |     31548      |
|    42    |     21830      |
|    43    |     60592      |
|    44    |     132116     |
|    45    |     23914      |
|    46    |     22993      |
|    47    |     43521      |
+----------+----------------+
