,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,11372,8005,38127,8166,7119,24016,139431600,23094,11372,9088,11372,8756,92626,182068,4096,1288,3.1801242236024843,0.314453125,0.685546875,115.69202600550447
1,2,14675,7334,54362,7354,17200,24336,246017872,23044,14675,8917,14675,8346,87597,171097,4096,1432,2.8603351955307263,0.349609375,0.650390625,105.09388191987527
2,3,9570,8356,30789,8336,5600,24266,111997599,23575,9570,9288,9570,8917,52471,139436,4096,760,5.389473684210526,0.185546875,0.814453125,168.44477334389668
3,4,10978,11802,36364,8195,7119,19988,139431600,23165,10978,12303,10978,8686,68701,154004,4096,1376,2.9767441860465116,0.3359375,0.6640625,109.08301482260548
4,5,9147,8256,25534,8566,4975,24076,81401875,22953,9147,9317,9147,8806,59203,142141,4096,1288,3.1801242236024843,0.314453125,0.685546875,115.69202600550447
5,6,18726,5560,71932,9619,21600,19978,370400000,23154,18726,6473,18726,9618,152652,231112,4096,2368,1.7297297297297298,0.578125,0.421875,54.79651707154475
6,7,7936,7815,20814,11452,4975,19998,81401875,22994,7936,8436,7936,11311,60335,143183,4096,1320,3.103030303030303,0.322265625,0.677734375,113.23791511389271
7,8,20500,4499,74566,4548,20000,19979,391496944,26911,20500,5681,20500,5070,71607,141009,4096,1624,2.522167487684729,0.396484375,0.603515625,92.51186459977204
8,9,24233,4298,92867,4408,20000,24157,391496944,22933,24233,6373,24233,5771,140849,215542,4096,2992,1.3689839572192513,0.73046875,0.26953125,31.406882762497577
9,10,26265,4318,99545,4439,21849,19998,392862800,27172,26265,6532,26265,5881,151980,222926,4096,3272,1.2518337408312958,0.798828125,0.201171875,22.460946899670603
10,11,9315,12493,25854,8726,6336,19999,124553216,23154,9315,13255,9315,9328,47461,136621,4096,648,6.320987654320987,0.158203125,0.841796875,184.3875470367069
11,12,21065,6312,75775,6312,19024,19998,320827904,27262,21065,7755,21065,7183,119469,195704,4096,2728,1.501466275659824,0.666015625,0.333984375,40.644214775599096
12,13,11580,7925,38976,7925,7119,24116,139431600,22944,11580,9118,11580,8566,70275,152060,4096,1480,2.7675675675675677,0.361328125,0.638671875,101.7968799961183
13,14,15695,6613,59295,6853,19375,19978,326562500,27302,15695,7635,15695,7033,84472,162660,4096,1824,2.245614035087719,0.4453125,0.5546875,80.89789960850669
14,15,11114,7755,36880,11201,15796,19988,222662400,23134,11114,12153,11114,8026,57951,143774,4096,1176,3.4829931972789114,0.287109375,0.712890625,124.78920382607714
15,16,24904,4588,94102,4609,21849,19978,392862800,27182,24904,6512,24904,5921,121382,192888,4096,2640,1.5515151515151515,0.64453125,0.35546875,43.923197057898186
16,17,21414,6292,78962,6302,20416,24096,343322368,23515,21414,8045,21414,7555,101654,182208,4096,2080,1.9692307692307693,0.5078125,0.4921875,67.76429940239801
17,18,15895,6873,59248,7063,17200,24106,246017872,23135,15895,8586,15895,8066,94210,173081,4096,2056,1.9922178988326849,0.501953125,0.498046875,68.9248540144288
18,19,15425,6943,57243,6973,16000,24066,220000000,27924,15425,8416,15425,7825,91054,174343,4096,2064,1.9844961240310077,0.50390625,0.49609375,68.53650401178903
19,20,17092,6272,65519,5941,15369,20499,213289761,27112,17092,7405,17092,6943,139547,214941,4096,2976,1.3763440860215055,0.7265624999999999,0.2734375000000001,31.94307707663613
20,21,13473,6523,50125,6542,14944,19989,236680192,26961,13473,7394,13473,7173,109349,184933,4096,2656,1.5421686746987953,0.6484375,0.3515625,43.31896561230193
21,22,31580,4569,120712,4649,21681,19988,373291600,27202,31580,5661,31580,5501,144666,214990,4096,4008,1.0219560878243512,0.9785156250000001,0.02148437499999989,2.17185239546429
22,23,34241,4088,132447,4068,20000,24136,400000000,23124,34241,5250,34241,5130,155227,222615,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-7.3410184113406745
23,24,19854,6353,76602,6412,18800,24056,276000000,23124,19854,7394,19854,7163,94561,170125,4096,2440,1.678688524590164,0.595703125,0.404296875,51.801284843209615
24,25,9939,7865,32426,7965,4800,20569,96000000,26621,9939,9178,9939,8637,65054,149115,4096,1512,2.708994708994709,0.369140625,0.630859375,99.65776099798653
25,26,14364,10039,53292,6562,16600,19979,232000000,24877,14364,11492,14364,7886,90583,172450,4096,2288,1.7902097902097902,0.55859375,0.44140625,58.23328142196552
26,27,14341,6673,53368,10069,16600,19979,232000000,27051,14341,8206,14341,10891,89241,173060,4096,2264,1.8091872791519434,0.552734375,0.447265625,59.28777273962701
27,28,14274,30789,53020,6603,16600,20008,232000000,26921,14274,8206,14274,7695,90102,191606,4096,2264,1.8091872791519434,0.552734375,0.447265625,59.28777273962701
28,29,14312,10229,53187,6533,16600,19968,232000000,23525,14312,11392,14312,7715,89030,169354,4096,2264,1.8091872791519434,0.552734375,0.447265625,59.28777273962701
29,30,14182,6552,52480,6643,16600,23495,232000000,22934,14182,7965,14182,11011,87818,170155,4096,2232,1.8351254480286738,0.544921875,0.455078125,60.71128432181422
30,31,14279,6512,53084,6583,16600,24176,232000000,22944,14279,8266,14279,7755,94280,171507,4096,2288,1.7902097902097902,0.55859375,0.44140625,58.23328142196552
31,32,14358,6492,53291,6553,16600,24146,232000000,28214,14358,8065,14358,7644,93879,175776,4096,2296,1.78397212543554,0.560546875,0.439453125,57.88424092798867
32,33,14231,6553,53095,6592,16600,24055,232000000,28213,14231,8105,14231,7765,94130,176557,4096,2304,1.7777777777777777,0.5625,0.4375,57.53641449035618
33,34,14393,6502,53344,6492,16600,24086,232000000,28203,14393,8175,14393,7685,92908,175024,4096,2272,1.8028169014084507,0.5546875,0.4453125,58.93503868783018
34,35,14295,6523,53260,6542,16600,19978,232000000,31982,14295,7925,14295,7554,92938,174593,4096,2280,1.7964912280701755,0.556640625,0.443359375,58.583544477085724
35,36,14275,6472,53101,6523,16600,19978,232000000,27733,14275,8015,14275,7625,93308,170556,4096,2288,1.7902097902097902,0.55859375,0.44140625,58.23328142196552
36,37,14445,6502,53344,6442,16600,19978,232000000,31681,14445,7815,14445,7524,87437,175405,4096,2248,1.8220640569395017,0.548828125,0.451171875,59.996995570576196
37,38,19952,5931,71074,5951,19024,19979,320827904,28464,19952,7334,19952,6893,114949,190384,4096,2624,1.5609756097560976,0.640625,0.359375,44.53110166553641
38,39,19968,4218,73408,4157,20000,19988,400000000,31330,19968,7995,19968,4008,138695,211274,4096,2960,1.3837837837837839,0.72265625,0.27734375,32.482161940123774
39,40,19856,4018,72954,7955,20000,19999,400000000,22944,19856,4037,19856,3877,138555,205041,4096,2880,1.4222222222222223,0.703125,0.296875,35.22205935893521
40,41,19925,4128,72896,7555,20000,19998,400000000,28044,19925,7845,19925,3937,143003,215622,4096,2856,1.4341736694677871,0.697265625,0.302734375,36.058884325986874
41,42,20508,7976,73375,4008,20000,19988,400000000,22944,20508,7905,20508,7514,133465,204892,4096,2872,1.426183844011142,0.701171875,0.298828125,35.500223655122895
42,43,19720,4048,72650,3998,20000,19998,400000000,27443,19720,7835,19720,3867,137032,205092,4096,2936,1.3950953678474114,0.716796875,0.283203125,33.296277698493746
43,44,19995,4118,72794,3998,20000,24106,400000000,28234,19995,7715,19995,10129,134146,216393,4096,2880,1.4222222222222223,0.703125,0.296875,35.22205935893521
44,45,20154,4038,72548,7514,20000,19989,400000000,27652,20154,3897,20154,3787,133596,201535,4096,2856,1.4341736694677871,0.697265625,0.302734375,36.058884325986874
45,46,20159,3978,72853,4018,20000,24196,400000000,27032,20159,3827,20159,3767,137593,205462,4096,2880,1.4222222222222223,0.703125,0.296875,35.22205935893521
46,47,20206,3948,73195,3937,20000,19998,400000000,27453,20206,3827,20206,3738,133384,197257,4096,2856,1.4341736694677871,0.697265625,0.302734375,36.058884325986874
47,48,11755,4839,37163,4319,16000,24126,220000000,23525,11755,5230,11755,4969,43894,112966,4096,568,7.211267605633803,0.138671875,0.861328125,197.56447479981924
48,49,11537,27563,42317,10460,7119,20008,139431600,22974,11537,8036,11537,10941,67539,168722,4096,1440,2.8444444444444446,0.3515625,0.6484375,104.53677741492974
49,50,12061,7415,40801,7644,16000,19978,220000000,26942,12061,8456,12061,7976,79381,158723,4096,1904,2.1512605042016806,0.46484375,0.53515625,76.6053951368033
50,51,12021,7505,40973,7675,16000,19988,220000000,26831,12021,8727,12021,8085,76687,157431,4096,1888,2.169491525423729,0.4609375,0.5390625,77.44928200138978
51,52,11908,7525,40584,7895,16000,23495,220000000,24707,11908,8657,11908,11532,77718,162420,4096,1920,2.1333333333333333,0.46875,0.53125,75.76857016975165
52,53,11782,7424,40149,7795,16000,24066,220000000,24687,11782,8657,11782,8095,80063,162641,4096,1904,2.1512605042016806,0.46484375,0.53515625,76.6053951368033
53,54,12120,7504,41530,7545,7119,19978,139431600,27873,12120,8697,12120,8216,77658,158373,4096,1912,2.1422594142259412,0.46679687500000006,0.533203125,76.1861073107997
54,55,11786,7635,39771,11131,7119,19978,139431600,25860,11786,12003,11786,8095,76065,162711,4096,1880,2.178723404255319,0.458984375,0.541015625,77.87391108953489
55,56,11797,7454,39778,7595,7119,24176,139431600,25859,11797,8437,11797,7905,80504,162871,4096,1896,2.160337552742616,0.46289062500000006,0.537109375,77.02644839043765
56,57,11545,7645,39068,7504,16000,19978,220000000,28675,11545,8326,11545,7835,77117,158923,4096,1920,2.1333333333333333,0.46875,0.53125,75.76857016975165
57,58,11610,7495,39414,7594,16000,19979,220000000,29195,11610,8586,11610,8086,73540,158603,4096,1784,2.295964125560538,0.435546875,0.564453125,83.1152853579389
58,59,10043,7074,33113,6953,16000,23495,220000000,24687,10043,7083,10043,10240,56257,136751,4096,1392,2.942528735632184,0.33984375,0.66015625,107.92693258249788
59,60,11786,7364,39688,7564,16000,19968,220000000,28475,11786,8145,11786,7775,68090,149395,4096,1616,2.5346534653465347,0.39453125,0.60546875,93.00569276383031
60,61,11139,6934,36798,7103,7119,24157,139431600,22933,11139,7485,11139,7214,64453,141190,4096,1528,2.680628272251309,0.373046875,0.626953125,98.6051196992878
