,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,30192,5210,113524,5780,17000,20156,340000000,34782,30192,7033,120768,6602,1347714,1489317,4096,3352,1.2219570405727924,0.818359375,0.181640625,498.868304486803
1,2,34316,4187,131754,4167,20000,24134,400000000,33279,34316,5560,137264,5590,1693272,1776351,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
2,3,34055,4658,131661,7654,20000,27560,400000000,30074,34055,5420,136220,5009,1766363,1852297,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
3,4,34166,4238,131588,7654,20000,20086,400000000,34372,34166,5470,136664,5009,1714491,1796577,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
4,5,34214,4188,131755,7974,20000,20086,400000000,33420,34214,5590,136856,4979,1764500,1846277,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
5,6,34252,4218,131589,11290,20000,20798,400000000,30334,34252,8986,137008,4959,1689405,1775589,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
6,7,34335,4188,131965,4158,20000,20066,400000000,33770,34335,5199,137340,4859,1689896,1767515,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
7,8,34156,4157,131689,4158,20000,23943,400000000,30194,34156,5480,136624,42446,1697329,1813928,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
8,9,34289,4108,131863,4148,20000,23973,400000000,30084,34289,5269,137156,4919,1729647,1807567,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
9,10,34165,4208,132079,4168,20000,24033,400000000,30134,34165,5210,136660,4839,1791949,1870409,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
10,11,34408,4198,132036,4147,20000,23942,400000000,30053,34408,5319,137632,4878,1739465,1817445,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
11,12,34144,4168,131798,4157,20000,24714,400000000,29603,34144,5099,136576,8325,1731360,1819268,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
12,13,34309,4238,131886,4198,20000,20817,400000000,32969,34309,5309,137236,4999,1714240,1792510,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
13,14,34229,4157,132052,4147,20000,24734,400000000,30134,34229,5309,136916,4868,1760502,1839384,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
14,15,34240,4218,131904,4178,20000,20056,400000000,34191,34240,5250,136960,4919,1702749,1781931,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
15,16,34235,4258,131641,4178,20000,20787,400000000,33651,34235,5279,136940,5049,1750845,1833113,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
16,17,34227,4178,132082,4168,20000,20066,400000000,34311,34227,5329,136908,4828,1730329,1809320,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
17,18,34259,4168,131874,4167,20000,20066,400000000,33910,34259,5359,137036,4989,1741649,1820080,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
18,19,34258,4188,132010,4147,20000,23972,400000000,30104,34258,5309,137032,4959,1741188,1819248,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
19,20,34282,4198,131909,8155,20000,20777,400000000,30334,34282,5250,137128,8455,1742050,1824777,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
20,21,34291,4218,131874,4639,20000,20066,400000000,33269,34291,5359,137164,5209,1759621,1838052,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
21,22,34373,4177,132005,4177,20000,24063,400000000,30154,34373,5400,137492,4929,1683495,1761845,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
22,23,34247,4197,131676,8135,20000,20767,400000000,29522,34247,5149,136988,8345,1780018,1862505,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
23,24,34365,4468,132004,4187,20000,24834,400000000,30144,34365,5239,137460,8295,1677925,1760803,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
24,25,34174,4187,131881,4147,20000,20717,400000000,33119,34174,5260,136696,4799,1757156,1835718,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
25,26,34350,4168,132223,4147,20000,20076,400000000,34231,34350,5310,137400,18253,1674439,1766093,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
26,27,34161,4147,132107,4198,20000,24614,400000000,30124,34161,5259,136644,8265,1773556,1855973,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
27,28,34294,4178,131837,4148,20000,23963,400000000,30034,34294,5269,137176,4828,1710533,1788203,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
28,29,34284,4148,131955,4147,20000,20055,400000000,34031,34284,5309,137136,4758,1750034,1828865,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
29,30,34214,4178,131897,4167,20000,23973,400000000,30043,34214,5289,136856,4909,1692511,1770621,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
30,31,34151,4208,131883,4158,20000,20767,400000000,33761,34151,5349,136604,5470,1673687,1753300,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
31,32,34318,4698,131893,4197,20000,20076,400000000,34461,34318,5349,137272,4969,1757146,1837160,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
32,33,34085,4298,131765,4198,20000,24103,400000000,29924,34085,5210,136340,4789,1724228,1802328,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
33,34,34258,4157,132009,4168,20000,24083,400000000,30044,34258,5270,137032,4699,1732622,1810512,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
34,35,34143,4178,131910,4168,20000,23883,400000000,30064,34143,5420,136572,4929,1683615,1761795,4096,4416,0.927536231884058,1.078125,-0.078125,-1329.3731972673447
35,36,34178,4177,131853,8054,20000,20738,400000000,29583,34178,5380,136712,8435,1716033,1797930,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
36,37,34244,4158,131821,4157,20000,24064,400000000,53646,34244,5380,136976,4969,1685709,1789214,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-1362.2088162252303
