,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,29755,9098,112034,5059,21369,20709,363752961,23685,29755,9969,29755,6312,144742,229532,4096,3160,1.2962025316455696,0.771484375,0.228515625,25.94388601383859
1,2,32848,4148,126159,7734,20000,20609,391496944,23064,32848,5630,32848,8607,144692,216928,4096,3728,1.0987124463519313,0.91015625,0.08984375,9.413899091386192
2,3,32788,4308,125690,4098,20000,23875,400000000,23504,32788,5480,32788,5230,139112,207400,4096,3608,1.1352549889135255,0.880859375,0.119140625,12.685728553682942
3,4,32619,4097,124771,4068,20000,20609,391496944,22983,32619,8997,32619,5370,139833,207801,4096,3600,1.1377777777777778,0.87890625,0.12109375,12.907704227514236
4,5,32965,4067,126320,4078,20000,23514,391496944,23855,32965,5491,32965,5160,145884,214283,4096,3816,1.0733752620545074,0.931640625,0.068359375,7.080813415116662
5,6,33144,4048,127285,4559,20000,19987,400000000,26691,33144,5470,33144,5160,143370,211638,4096,3856,1.062240663900415,0.94140625,0.05859375,6.038051098890748
6,7,32787,4108,125433,4168,20000,23514,400000000,23985,32787,5611,32787,5210,142699,211508,4096,3752,1.091684434968017,0.916015625,0.083984375,8.77218565932284
7,8,32707,4709,125198,4138,20000,19977,391496944,26700,32707,5460,32707,5691,138280,206559,4096,3672,1.1154684095860568,0.8964843749999999,0.10351562500000011,10.927441497896274
8,9,33567,4378,128981,4118,20000,23454,400000000,23995,33567,5401,33567,5260,147858,215967,4096,4008,1.0219560878243512,0.9785156250000001,0.02148437499999989,2.17185239546429
9,10,33365,4117,127790,4088,20000,19988,400000000,26900,33365,5610,33365,5130,143210,210857,4096,3904,1.0491803278688525,0.953125,0.046875,4.8009219186360665
10,11,33582,4087,129206,4158,20000,24176,391496944,23534,33582,5310,33582,5220,171122,240132,4096,4040,1.0138613861386139,0.986328125,0.013671875,1.376619576414797
11,12,34285,4048,131644,7724,20000,20619,400000000,22953,34285,5330,34285,5170,155092,222729,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-7.3410184113406745
12,13,34455,4027,131680,4107,20000,23545,400000000,23845,34455,5280,34455,5180,153549,221136,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-7.3410184113406745
13,14,34144,4148,131699,4068,20000,19977,400000000,27121,34144,5651,34144,5150,150173,218071,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-7.3410184113406745
14,15,34428,7504,131778,4108,20000,20579,400000000,23143,34428,5360,34428,8285,151115,221577,4096,4408,0.9292196007259528,1.076171875,-0.076171875,-7.3410184113406745
15,16,34291,4078,131879,4078,20000,23574,400000000,53451,34291,5350,34291,5150,152367,249970,4096,4368,0.9377289377289377,1.06640625,-0.06640625,-6.429435070539726
16,17,33770,4098,130121,7905,20000,20599,400000000,23424,33770,5360,33770,5170,151305,219653,4096,4152,0.9865125240847784,1.013671875,-0.013671875,-1.3579258126380866
17,18,33870,4037,130040,4057,20000,23555,400000000,23804,33870,5229,33870,5129,152357,219904,4096,4176,0.9808429118773946,1.01953125,-0.01953125,-1.9342962843130986
18,19,33535,4388,128411,4288,20000,19978,400000000,28103,33535,5330,33535,5591,146185,215767,4096,3992,1.0260521042084167,0.9746093750000001,0.02539062499999989,2.5718529287989034
19,20,33609,4308,128629,4108,20000,24196,400000000,23514,33609,5220,33609,5060,148179,216107,4096,4008,1.0219560878243512,0.9785156250000001,0.02148437499999989,2.17185239546429
20,21,33688,4057,128891,4068,20000,19978,400000000,27982,33688,5330,33688,5179,146787,215145,4096,4056,1.009861932938856,0.990234375,0.009765625,0.9813621448324671
21,22,33039,4028,126820,4078,20000,20609,400000000,23133,33039,8587,33039,5009,141276,208563,4096,3776,1.0847457627118644,0.921875,0.078125,8.13456394539524
22,23,32823,4158,126409,4078,20000,23795,400000000,23985,32823,5370,32823,5160,139072,207621,4096,3720,1.1010752688172043,0.908203125,0.091796875,9.628721945215148
23,24,32925,4047,126385,7895,20000,19978,400000000,28143,32925,5360,32925,5420,171984,245903,4096,3784,1.0824524312896406,0.923828125,0.076171875,7.9229236547574855
24,25,33080,4939,126957,8066,20000,24315,400000000,35417,33080,6132,33080,6592,176042,264758,4096,3904,1.0491803278688525,0.953125,0.046875,4.8009219186360665
25,26,33240,4087,127562,4118,20000,24426,400000000,23084,33240,5450,33240,5170,153188,222088,4096,3880,1.0556701030927835,0.947265625,0.052734375,5.417573410202461
26,27,33555,4068,128811,5250,20000,31640,400000000,25277,33555,6292,33555,6683,330171,422545,4096,4016,1.0199203187250996,0.98046875,0.01953125,1.9724505347778574
27,28,32927,5159,126160,5130,20000,26590,400000000,36248,32927,7243,32927,7084,175089,265269,4096,3776,1.0847457627118644,0.921875,0.078125,8.13456394539524
28,29,32730,4148,125312,4118,20000,23925,400000000,23615,32730,5590,32730,5310,139353,211619,4096,3688,1.1106290672451193,0.900390625,0.099609375,10.492658204285929
29,30,34076,4108,131137,4328,20000,20318,400000000,26400,34076,5420,34076,5150,151725,219243,4096,4288,0.9552238805970149,1.046875,-0.046875,-4.580953603129422
30,31,34191,4107,131755,7725,20000,20579,400000000,22963,34191,5220,34191,5000,155142,222499,4096,4368,0.9377289377289377,1.06640625,-0.06640625,-6.429435070539726
31,32,33460,4087,128065,4117,20000,23605,400000000,23414,33460,5190,33460,5059,197041,264518,4096,3928,1.0427698574338085,0.9589843750000001,0.04101562499999989,4.188049724498711
32,33,33486,4027,128391,7815,20000,20178,400000000,26340,33486,5390,33486,5110,144722,215576,4096,4040,1.0138613861386139,0.986328125,0.013671875,1.376619576414797
33,34,33425,4068,128523,4077,20000,23524,400000000,23925,33425,5130,33425,4949,147969,215416,4096,3968,1.032258064516129,0.96875,0.03125,3.174869831458027
34,35,33866,4278,129654,4068,20000,19977,400000000,27642,33866,5590,33866,5040,147487,216448,4096,4120,0.9941747572815534,1.005859375,-0.005859375,-0.5842275624228402
35,36,34265,7705,131746,4068,20000,20559,400000000,23424,34265,5049,34265,8186,149101,219804,4096,4312,0.9499072356215214,1.052734375,-0.052734375,-5.139094586948936
36,37,34211,4308,131896,7554,20000,23635,400000000,23915,34211,5290,34211,5140,154270,225705,4096,4360,0.9394495412844037,1.064453125,-0.064453125,-6.246116962373623
37,38,34274,4108,131270,4088,20000,19977,400000000,27171,34274,5219,34274,4889,150353,218310,4096,4360,0.9394495412844037,1.064453125,-0.064453125,-6.246116962373623
38,39,31267,4128,120641,4068,20000,20568,391496944,23134,31267,8666,31267,5099,128642,196469,4096,3360,1.2190476190476192,0.8203124999999999,0.1796875000000001,19.80699137620939
39,40,34254,4068,132052,4058,20000,19977,400000000,27442,34254,5150,34254,4959,149692,217289,4096,4416,0.927536231884058,1.078125,-0.078125,-7.522342123758752
40,41,34203,4108,132240,4058,20000,20589,400000000,23133,34203,8446,34203,4950,149792,216978,4096,4416,0.927536231884058,1.078125,-0.078125,-7.522342123758752
