,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,20987,5811,78380,5791,16900,24153,328370000,29934,20987,6632,83948,10108,745729,889306,4096,1856,2.206896551724138,0.453125,0.546875,126.32846167477952
1,2,24382,4728,91344,4679,21444,24304,366776336,29843,24382,5610,97528,8726,1213388,1304832,4096,2808,1.4586894586894588,0.685546875,0.314453125,264.873717701785
2,3,23871,4338,89948,4428,21764,24484,391795200,28932,23871,4949,95484,4618,840859,924089,4096,2256,1.8156028368794326,0.55078125,0.44921875,167.6677678454103
3,4,23888,4288,89046,4348,22025,20767,394950000,32088,23888,4919,95552,4509,1050946,1126081,4096,2736,1.4970760233918128,0.66796875,0.33203125,247.82294483436482
4,5,20449,9717,77035,5681,17161,20767,333145837,32048,20449,6201,81796,6131,862177,945868,4096,2112,1.9393939393939394,0.515625,0.484375,150.97176253461407
5,6,22223,4938,83844,4979,21444,24925,366776336,28371,22223,5670,88892,9036,1085549,1170701,4096,2648,1.5468277945619335,0.646484375,0.353515625,229.24935183158036
6,7,13225,7173,48354,7202,16225,20086,231002500,32869,13225,8025,52900,7894,509615,601690,4096,1168,3.506849315068493,0.28515625,0.71484375,79.6991831905722
7,8,22581,5099,83944,5080,21444,24203,366776336,30215,22581,5710,90324,5299,1021544,1100376,4096,2496,1.641025641025641,0.609375,0.390625,201.88910166946877
8,9,22464,4428,83900,4499,20000,20727,400000000,33190,22464,4969,89856,4448,972807,1048212,4096,2520,1.6253968253968254,0.615234375,0.384765625,205.86637386588137
9,10,23009,4358,86022,4318,20000,24023,391496944,30094,23009,4848,92036,4598,1053832,1133846,4096,2632,1.5562310030395137,0.642578125,0.357421875,226.10782271252745
10,11,23988,4358,90098,4328,21936,24184,393913600,30024,23988,4759,95952,4438,922025,997200,4096,2456,1.6677524429967427,0.599609375,0.400390625,195.51225951426093
11,12,22632,5310,84793,4899,21521,20066,367532400,35364,22632,5460,90528,5150,995216,1074398,4096,2512,1.6305732484076434,0.61328125,0.38671875,204.52756990257862
12,13,22334,4888,83102,4328,22025,20066,394950000,32779,22334,5340,89336,4358,1035098,1114210,4096,2680,1.528358208955224,0.654296875,0.345703125,235.7411420848035
13,14,21717,4348,81733,8455,22025,20777,394950000,29704,21717,8575,86868,4518,1018348,1097870,4096,2552,1.6050156739811912,0.623046875,0.376953125,211.35682697658274
