,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,30277,5098,113998,5149,21369,24250,363752961,23248,30277,6421,30277,6080,160934,244231,4096,3037,1.3486993743826143,0.741455078125,0.258544921875,29.914070167359487
1,2,34314,8414,131733,4067,20000,20714,400000000,23008,34314,5248,34314,8354,28757,101327,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
2,3,34202,4156,131781,4057,20000,23789,400000000,23559,34202,5199,34202,5058,62132,130394,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
3,4,34214,4107,131895,8624,20000,20764,400000000,22988,34214,5239,34214,8404,9626,82004,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
4,5,34157,4057,132085,4067,20000,19963,400000000,27295,34157,5278,34157,5079,9205,76686,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
5,6,34408,4076,131938,4057,20000,23839,400000000,23509,34408,5229,34408,5068,33475,101176,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
6,7,34165,4077,131683,4087,20000,19972,400000000,27194,34165,5289,34165,5159,30279,102068,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
7,8,34458,4157,131753,4578,20000,19962,400000000,26454,34458,5259,34458,5078,10658,78328,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
8,9,34196,4057,131847,4057,20000,19962,400000000,27335,34196,5108,34196,5038,11339,78969,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
9,10,34320,4067,131553,7903,20000,20634,400000000,22938,34320,5258,34320,5128,33645,101206,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
10,11,31181,4858,119369,4878,21521,23899,367532400,23489,31181,6080,31181,5910,43131,114077,4096,3302,1.2404603270745003,0.80615234375,0.19384765625,21.54825422392704
11,12,34256,4097,131690,4067,20000,23809,400000000,23489,34256,5298,34256,5018,33204,100555,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
12,13,34348,4097,131876,4086,20000,19963,400000000,26544,34348,5669,34348,5078,11048,78149,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
13,14,34299,4087,132033,4077,20000,23799,400000000,23519,34299,5209,34299,5088,33786,101547,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
14,15,34254,4016,131843,4077,20000,19963,400000000,27054,34254,5218,34254,5049,9856,76816,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
15,16,34270,4046,132066,4066,20000,24581,400000000,22937,34270,5269,34270,5059,15335,82897,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
16,17,34373,4517,132105,4067,20000,19963,400000000,26543,34373,5299,34373,5700,10056,77738,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
17,18,34341,4097,131914,4097,20000,23659,400000000,23478,34341,5299,34341,5069,9696,76986,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
18,19,34282,4096,131937,7852,20000,20643,400000000,22938,34282,5219,34282,5128,13423,80923,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
19,20,34275,4097,131959,4077,20000,19963,400000000,26864,34275,5669,34275,4938,9195,76406,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
20,21,34155,4127,131860,4077,20000,23699,400000000,23499,34155,5228,34155,5099,32483,100034,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
21,22,34323,4027,131953,4087,20000,19972,400000000,26563,34323,5740,34323,5058,9436,76976,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
22,23,34167,4096,131821,4077,20000,24400,400000000,23489,34167,5199,34167,5028,33625,101517,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
23,24,34285,4087,131839,4067,20000,19963,400000000,27074,34285,5199,34285,5128,9165,76255,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
24,25,34355,4116,131795,4097,20000,24190,400000000,23078,34355,5309,34355,5088,8915,76215,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
