,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,29788,4972,112377,5052,21369,20699,363752961,26382,29788,6673,29788,6373,148267,233826,4096,3052,1.3420707732634338,0.7451171875,0.2548828125,29.42137743149961
1,2,34192,4032,132023,4061,20000,20610,400000000,26792,34192,5442,34192,5153,17668,86189,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
2,3,34172,4072,131040,8234,20000,19969,400000000,23471,34172,5342,34172,5222,38308,106578,4096,4010,1.0214463840399002,0.9790039062500001,0.02099609374999989,2.1219646418728777
3,4,33996,4062,130821,4111,20000,23881,400000000,23421,33996,5272,33996,5093,43509,110990,4096,3975,1.030440251572327,0.970458984375,0.029541015625,2.9986139630911386
4,5,34265,4092,131632,4062,20000,23701,400000000,22930,34265,5473,34265,4972,37407,104518,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
5,6,34243,4092,131923,4082,20000,20559,400000000,43640,34243,5322,34243,5163,9134,93822,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
6,7,34170,4092,132079,4092,20000,19939,400000000,23451,34170,8594,34170,5172,8994,76235,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
7,8,24161,5332,92541,5483,17000,20009,340000000,26842,24161,6893,24161,6543,73103,148197,4096,2051,1.9970745977571915,0.500732421875,0.499267578125,69.1683408646963
8,9,34236,7794,131624,4122,20000,19939,400000000,23410,34236,5253,34236,8323,11776,82848,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
9,10,34102,4022,131152,4061,20000,20540,400000000,26722,34102,5442,34102,5243,50363,118253,4096,3934,1.0411794611082867,0.96044921875,0.03955078125,4.035416777033935
10,11,33745,4032,129457,4102,20000,20550,400000000,26552,33745,5102,33745,5032,42279,109290,4096,3864,1.060041407867495,0.9433593749999999,0.05664062500000011,5.830797138693518
11,12,34156,4072,131805,4062,20000,20549,400000000,26432,34156,5243,34156,5062,8964,75994,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
12,13,34417,4321,132327,4041,20000,23591,400000000,22940,34417,5393,34417,5623,8814,76675,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
13,14,27933,4712,104832,8464,21369,19939,363752961,23411,27933,6503,27933,9144,39508,114622,4096,2526,1.6215360253365003,0.61669921875,0.38330078125,48.33738638089072
14,15,32321,4462,123134,8654,21849,19939,392862800,23371,32321,5752,32321,5573,36096,105838,4096,3538,1.1577162238552854,0.8637695312500001,0.1362304687499999,14.644929199961304
15,16,34080,4142,131128,4081,20000,23801,400000000,23391,34080,5262,34080,5153,49072,117213,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
