,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,11372,8212,38127,8102,7119,20113,139431600,26500,11372,9235,11372,8913,11360,101869,4096,1424,2.8764044943820224,0.34765625,0.65234375,105.65410747474226
1,2,14675,7219,54362,7671,17200,20033,246017872,26480,14675,9064,14675,8372,5806,85777,4096,1435,2.854355400696864,0.350341796875,0.649658203125,104.88460385256222
2,3,9570,8292,30789,8332,5600,23883,111997599,23172,9570,9224,9570,8774,7038,93477,4096,828,4.946859903381642,0.2021484375,0.7978515625,159.8753012334084
3,4,10978,8171,36364,8072,7119,20013,139431600,26389,10978,9184,10978,8603,7389,91572,4096,1487,2.754539340954943,0.363037109375,0.636962890625,101.32502202591887
4,5,9147,8192,25534,11841,4975,20605,81401875,22971,9147,9294,9147,12011,5214,93768,4096,1169,3.5038494439692043,0.285400390625,0.714599609375,125.38622052472752
5,6,18726,5484,71932,5665,21600,19993,370400000,26961,18726,6376,18726,5935,10588,84974,4096,2133,1.9203000468823255,0.520751953125,0.479248046875,65.24814482479933
6,7,7936,7790,20814,11390,4975,20594,81401875,22961,7936,11260,7936,7921,5314,88434,4096,1446,2.8326417704011067,0.35302734375,0.64697265625,104.12097640006337
7,8,20500,4633,74566,4492,20000,19982,391496944,26710,20500,7159,20500,5505,6006,77906,4096,1623,2.5237215033887863,0.396240234375,0.603759765625,92.57345992047526
8,9,24233,5134,92867,4421,20000,24986,391496944,22930,24233,6327,24233,5786,16543,90048,4096,3026,1.3536021150033046,0.73876953125,0.26123046875,30.276927237104246
9,10,26265,4422,99545,4291,21849,19983,392862800,26270,26265,6557,26265,5836,12382,81967,4096,3325,1.2318796992481202,0.811767578125,0.188232421875,20.854121362938915
