,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,30192,5220,113524,5370,17000,23095,340000000,34306,30192,7194,120768,6833,7755,159817,4096,3168,1.292929292929293,0.7734374999999999,0.2265625000000001,389.2407416527542
1,2,34316,4289,131754,4268,20000,23215,400000000,33916,34316,5531,137264,5000,2905,84653,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
2,3,34055,4188,131661,4198,20000,22984,400000000,33795,34055,5520,136220,4919,2505,83722,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
3,4,34166,4148,131588,4158,20000,24016,400000000,28836,34166,5270,136664,4969,6713,83220,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
4,5,34214,4418,131755,4309,20000,20069,400000000,32152,34214,5621,136856,4980,2465,79342,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
5,6,34252,4209,131589,4138,20000,20710,400000000,31982,34252,5410,137008,4979,2454,80124,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
6,7,34335,4409,131965,4178,20000,23956,400000000,28805,34335,5210,137340,8426,2485,82929,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
7,8,34156,4619,131689,4148,20000,20058,400000000,32112,34156,5932,136624,5060,2485,79473,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
8,9,34289,4188,131863,4148,20000,20690,400000000,32122,34289,5401,137156,4849,2475,79223,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
9,10,34165,4238,132079,4148,20000,24006,400000000,28806,34165,5290,136660,8436,2465,82750,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
10,11,34408,4519,132036,4148,20000,23836,400000000,28315,34408,5701,137632,4780,2475,78852,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
11,12,34144,4238,131798,4158,20000,20800,400000000,32262,34144,5190,136576,4750,2485,79162,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
12,13,34309,4168,131886,4138,20000,23936,400000000,28785,34309,5370,137236,8457,2485,83430,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
13,14,34229,4308,132052,4158,20000,23906,400000000,28545,34229,5441,136916,4900,2455,79263,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
14,15,34240,4158,131904,4148,20000,20720,400000000,32002,34240,5350,136960,4859,2445,79112,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
15,16,34235,4138,131641,4148,20000,20700,400000000,32001,34235,5281,136940,4869,2464,78772,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
