,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,29755,5010,112034,5430,21369,20098,363752961,26900,29755,6752,29755,6683,9197,90139,4096,2765,1.481374321880651,0.675048828125,0.324951171875,254.472187899508
1,2,32848,8195,126159,4108,20000,20669,391496944,23033,32848,5440,32848,8846,6382,81003,4096,3073,1.332899446794663,0.750244140625,0.249755859375,347.99965757904516
2,3,32788,4478,125690,4058,20000,20028,400000000,26860,32788,5441,32788,5740,5962,74400,4096,3037,1.3486993743826143,0.741455078125,0.258544921875,334.2908518985633
3,4,32619,4238,124771,4098,20000,23945,391496944,23454,32619,5531,32619,5320,6432,74260,4096,2986,1.3717347622237106,0.72900390625,0.27099609375,316.37941610387605
4,5,32965,7905,126320,4058,20000,20598,391496944,22954,32965,5280,32965,8656,5621,77526,4096,3260,1.2564417177914111,0.7958984375,0.2041015625,438.0514392719693
5,6,33144,5060,127285,5280,20000,21700,400000000,33462,33144,6071,33144,5611,6061,85682,4096,3324,1.2322503008423586,0.8115234375,0.1884765625,478.8308618737555
6,7,32787,4197,125433,4278,20000,24766,400000000,23765,32787,5791,32787,5551,10179,79920,4096,3139,1.304874163746416,0.766357421875,0.233642578125,375.7892374265918
7,8,32707,4167,125198,4177,20000,20849,391496944,27421,32707,5861,32707,5650,6422,75672,4096,3099,1.3217166828009035,0.756591796875,0.243408203125,358.51107762669994
8,9,33567,4128,128981,4429,20000,19967,400000000,26741,33567,5791,33567,5179,5400,73338,4096,3541,1.1567353854843265,0.864501953125,0.135498046875,686.8050988933213
9,10,33365,4037,127790,4088,20000,23845,400000000,23444,33365,5250,33365,5080,5600,74060,4096,3383,1.210759680756725,0.8259277343749999,0.1740722656250001,522.8812906689169
10,11,33582,4118,129206,4128,20000,20639,391496944,22923,33582,8947,33582,5139,5531,72987,4096,3560,1.150561797752809,0.8691406249999999,0.1308593750000001,713.0107346002108
11,12,34285,4549,131644,4057,20000,22132,400000000,28163,34285,5380,34285,5370,2064,73307,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
12,13,34455,4108,131680,4078,20000,23955,400000000,23484,34455,5300,34455,5180,2004,70262,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
13,14,34144,4128,131699,4058,20000,23875,400000000,23434,34144,5210,34144,5220,1963,69511,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
14,15,34428,4028,131778,4068,20000,20608,400000000,22913,34428,9157,34428,5100,1953,69781,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
15,16,34291,4519,131879,4068,20000,19967,400000000,26750,34291,5229,34291,5590,3066,71033,4096,4054,1.0103601381351752,0.9897460937499999,0.010253906250000111,9702.295062202045
16,17,33770,4147,130121,4087,20000,23785,400000000,23434,33770,5901,33770,6603,4979,74530,4096,3690,1.1100271002710027,0.90087890625,0.09912109375,957.997282755567
17,18,33870,4128,130040,8436,20000,20669,400000000,22923,33870,5150,33870,5049,8456,76664,4096,3711,1.103745621126381,0.906005859375,0.093994140625,1013.0736582322209
18,19,33535,4128,128411,4077,20000,20639,400000000,26720,33535,5279,33535,5139,5410,73539,4096,3420,1.1976608187134503,0.8349609375,0.1650390625,554.4148880034974
19,20,33609,4027,128629,4078,20000,19977,400000000,26780,33609,5731,33609,5150,5039,72226,4096,3561,1.150238696995226,0.869384765625,0.130615234375,714.4414449578767
20,21,33688,4098,128891,4078,20000,23824,400000000,23445,33688,5219,33688,5039,5180,72677,4096,3541,1.1567353854843265,0.864501953125,0.135498046875,686.8050988933213
21,22,33039,4629,126820,4058,20000,20608,400000000,22913,33039,8986,33039,5079,5771,73217,4096,3235,1.2661514683153015,0.789794921875,0.210205078125,423.7612065404794
22,23,32823,4429,126409,4208,20000,19967,400000000,26751,32823,5240,32823,5410,5650,72556,4096,3207,1.2772061116308076,0.782958984375,0.217041015625,408.7054806440273
23,24,32925,4148,126385,4058,20000,23825,400000000,23444,32925,5390,32925,5200,5721,73388,4096,3279,1.249161329673681,0.800537109375,0.199462890625,449.4939801578238
24,25,33080,4128,126957,7945,20000,23003,400000000,23674,33080,5660,33080,9769,5751,84509,4096,3235,1.2661514683153015,0.789794921875,0.210205078125,423.7612065404794
25,26,33240,4468,127562,4177,20000,20488,400000000,27432,33240,5610,33240,5740,6082,76244,4096,3311,1.2370884929024464,0.808349609375,0.191650390625,470.011770453603
26,27,33555,4368,128811,4178,20000,24557,400000000,23654,33555,5501,33555,5520,6412,75872,4096,3496,1.17162471395881,0.853515625,0.146484375,631.3472896570695
27,28,32927,8286,126160,4078,20000,20729,400000000,22923,32927,5420,32927,8877,5931,77375,4096,3203,1.2788011239463004,0.781982421875,0.218017578125,406.63131566572747
28,29,32730,4058,125312,4619,20000,19977,400000000,26721,32730,5450,32730,5320,6102,73308,4096,3080,1.3298701298701299,0.751953125,0.248046875,350.77714057037053
29,30,34076,5069,131137,4900,20000,24155,400000000,23474,34076,5431,34076,5199,4087,74741,4096,3862,1.0605903676851371,0.9428710937500001,0.05712890624999989,1699.937164500071
30,31,34191,4058,131755,7955,20000,20659,400000000,23754,34191,6693,34191,9037,2685,77034,4096,4014,1.020428500249128,0.97998046875,0.02001953125,4944.953430390117
31,32,33460,4168,128065,4078,20000,20679,400000000,26750,33460,5170,33460,5030,5791,73868,4096,3368,1.2161520190023754,0.822265625,0.177734375,511.0076376045108
32,33,33486,4358,128391,5430,20000,25017,400000000,23434,33486,5360,33486,5240,5250,76324,4096,3515,1.1652916073968707,0.8581542968749999,0.1418457031250001,653.7171296792134
33,34,33425,4237,128523,4097,20000,25909,400000000,23324,33425,5060,33425,4949,9177,78497,4096,3483,1.1759977031294861,0.850341796875,0.149658203125,616.8388505418002
34,35,33866,5150,129654,4078,20000,20639,400000000,28984,33866,5250,33866,5070,5049,75853,4096,3640,1.1252747252747253,0.888671875,0.111328125,847.2622822654015
35,36,34265,4048,131746,4088,20000,27321,400000000,25248,34265,5180,34265,4969,3376,76474,4096,3972,1.0312185297079557,0.9697265625,0.0302734375,3252.9696343067544
36,37,34211,5150,131896,5310,20000,73347,400000000,27292,34211,5761,34211,12253,5030,149812,4096,4011,1.0211917227624034,0.979248046875,0.020751953125,4768.64877818463
