,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,20987,6305,78380,6284,16900,33627,328370000,23654,20987,6585,20987,6184,15305,108587,4096,1371,2.987600291757841,0.334716796875,0.665283203125,109.44704871570295
1,2,24382,4571,91344,4931,21444,24025,366776336,23053,24382,5312,24382,5382,10424,80413,4096,2521,1.6247520825069417,0.615478515625,0.384521484375,48.53552395314239
2,3,23871,8078,89948,4330,21764,20016,391795200,23493,23871,4861,23871,8479,8780,81376,4096,1637,2.5021380574221137,0.399658203125,0.600341796875,91.71455893482089
3,4,23888,4129,89046,4210,22025,20667,394950000,26791,23888,4771,23888,4541,10073,77046,4096,1999,2.049024512256128,0.48803710937500006,0.511962890625,71.73638322189436
4,5,20449,5472,77035,5613,17161,23865,333145837,23443,20449,6234,20449,5963,11747,83210,4096,1698,2.4122497055359244,0.41455078125000006,0.58544921875,88.0559799848051
5,6,22223,4851,83844,4871,21444,19985,366776336,27232,22223,5502,22223,5192,9342,81837,4096,2101,1.9495478343645882,0.512939453125,0.487060546875,66.75974658743432
6,7,13225,7226,48354,7156,16225,23854,231002500,22962,13225,7958,13225,7617,4681,83530,4096,963,4.2533748701973,0.235107421875,0.764892578125,144.77127549212182
7,8,22581,8941,83944,4971,21444,19996,366776336,23443,22581,9131,22581,5302,9582,82598,4096,2105,1.9458432304038005,0.513916015625,0.486083984375,66.5695420602862
8,9,22464,4169,83900,4239,20000,20647,400000000,26771,22464,4720,22464,4411,10042,76084,4096,1978,2.070778564206269,0.48291015625,0.51708984375,72.79246545366863
9,10,23009,4160,86022,4209,20000,24005,391496944,22932,23009,5363,23009,4560,8931,77807,4096,1764,2.3219954648526078,0.4306640625,0.5693359375,84.24269301526071
10,11,23988,4170,90098,4209,21936,19975,393913600,23474,23988,8299,23988,4350,8579,73988,4096,1773,2.310208685843204,0.43286132812499994,0.567138671875,83.7337860645136
11,12,22632,4741,84793,4741,21521,20607,367532400,26791,22632,5332,22632,5052,9722,77817,4096,2142,1.912231559290383,0.52294921875,0.47705078125,64.82709157116496
12,13,22334,4140,83102,4250,22025,23864,394950000,23143,22334,4801,22334,4370,10574,76103,4096,2103,1.947693770803614,0.513427734375,0.486572265625,66.66459910166441
13,14,21717,4230,81733,4290,22025,19986,394950000,23433,21717,8469,21717,4390,9371,76033,4096,1851,2.212857914640735,0.451904296875,0.548095703125,79.42848541458463
14,15,21855,4801,81590,4831,21521,20607,367532400,26871,21855,5241,21855,5021,9201,77577,4096,1796,2.2806236080178173,0.4384765625,0.5615234375,82.44489178571988
15,16,22692,4631,82776,4721,21521,23844,367532400,23463,22692,5191,22692,4951,12639,80252,4096,1964,2.085539714867617,0.47949218750000006,0.5205078125,73.50276778049324
16,17,18981,6023,71255,6084,20071,20627,337587923,26701,18981,6806,18981,6575,6806,80403,4096,1409,2.907026259758694,0.343994140625,0.656005859375,106.71306548206636
17,18,20198,5923,76231,5553,17161,23744,333145837,22953,20198,6094,20198,6204,8118,79602,4096,1648,2.4854368932038833,0.40234375000000006,0.59765625,91.04484562499266
18,19,23576,8059,87156,4169,22025,19986,394950000,23524,23576,4811,23576,8048,8189,77487,4096,1731,2.366262276140959,0.422607421875,0.577392578125,86.13116115431345
19,20,21964,4259,81124,4310,20000,20697,400000000,26701,21964,4641,21964,4420,5012,73758,4096,882,4.6439909297052155,0.21533203125,0.78466796875,153.55741107125525
20,21,20410,4901,78124,5513,21600,24085,370400000,22932,20410,5413,20410,5582,5293,76515,4096,1129,3.6279893711248894,0.275634765625,0.724365234375,128.86786025696816
21,22,22130,4811,83599,8750,21369,19976,363752961,23483,22130,5754,22130,16878,10053,90646,4096,2211,1.8525554047942108,0.539794921875,0.460205078125,61.65659858618974
22,23,23407,4150,87028,4199,20000,20667,391496944,27253,23407,4620,23407,4320,11456,77838,4096,2520,1.6253968253968254,0.615234375,0.384765625,48.57519862138747
23,24,22889,4129,85534,4220,20000,23784,391496944,23514,22889,4680,22889,4480,14854,82869,4096,2396,1.7095158597662772,0.5849609375,0.4150390625,53.62102074840037
24,25,21852,4099,81341,4290,20000,20597,391496944,26621,21852,4520,21852,4290,9672,76083,4096,1977,2.0718259989883663,0.482666015625,0.517333984375,72.84303435487269
25,26,23975,4190,89672,4731,22025,28204,394950000,23504,23975,4680,23975,5001,10564,82007,4096,2406,1.7024106400665004,0.58740234375,0.41259765625,53.20452701847196
26,27,21032,9511,80117,5383,16600,19975,332000000,23474,21032,9572,21032,5833,7578,84312,4096,1612,2.5409429280397022,0.3935546875,0.6064453125,93.253524365277
27,28,23460,4139,86405,4240,22025,20677,394950000,44892,23460,5292,23460,4530,8409,93232,4096,1603,2.5552089831565814,0.391357421875,0.608642578125,93.81340141097908
28,29,22928,4170,85878,4200,20000,19975,391496944,23444,22928,7878,22928,4440,35070,100529,4096,2403,1.7045359966708282,0.586669921875,0.413330078125,53.329293098287486
29,30,22158,5763,80587,5383,16800,20516,336000000,27533,22158,5833,22158,5503,14262,91539,4096,1931,2.1211807353702743,0.47143554687500006,0.528564453125,75.19728842908292
30,31,20501,5793,76053,5652,16900,20638,328370000,26911,20501,6204,20501,6024,7818,82759,4096,1621,2.526835286859963,0.395751953125,0.604248046875,92.69676449836678
31,32,20468,5602,75701,5713,17161,24405,333145837,23474,20468,6224,20468,5974,11246,92501,4096,1505,2.721594684385382,0.367431640625,0.632568359375,100.12179895363677
32,33,23298,4310,87630,4290,21849,20597,392862800,27212,23298,5021,23298,4811,9051,78920,4096,1769,2.3154324477105708,0.43188476562500006,0.568115234375,83.95964725595584
33,34,24280,4450,90935,4220,21936,24536,393913600,23483,24280,4671,24280,4480,14462,84251,4096,2192,1.8686131386861313,0.53515625,0.46484375,62.51965186514376
34,35,23960,4110,88706,4179,20000,20647,391496944,27363,23960,4651,23960,4460,9271,77376,4096,1918,2.13555787278415,0.46826171875,0.53173828125,75.87279112759602
35,36,19997,6414,73511,5963,20071,23854,337587923,22952,19997,6645,19997,6495,7086,80614,4096,1488,2.752688172043011,0.36328124999999994,0.63671875,101.25779513263066
36,37,21270,9582,79986,5322,16600,19986,332000000,23433,21270,9813,21270,5723,8920,84352,4096,2052,1.996101364522417,0.5009765625,0.4990234375,69.11959604286835
37,38,23079,4179,87653,4240,20000,20657,400000000,27012,23079,4811,23079,4601,10734,82348,4096,2093,1.9569995222169134,0.510986328125,0.489013671875,67.14124442733439
38,39,20121,5773,74298,10314,19724,19985,332327104,23443,20121,6505,20121,10564,7106,85315,4096,1781,2.299831555306008,0.43481445312499994,0.565185546875,83.28358834296822
39,40,21382,4941,79019,4991,21521,20617,367532400,26902,21382,5442,21382,5202,7999,77727,4096,1574,2.602287166454892,0.38427734375,0.61572265625,95.63907377419952
40,41,19985,6023,73795,5924,20071,23944,337587923,22922,19985,6655,19985,6395,6545,80183,4096,1439,2.846421125781793,0.351318359375,0.648681640625,104.60624598319758
41,42,22792,4110,86839,4190,20000,19975,391496944,23424,22792,4710,22792,4430,10133,75722,4096,2251,1.819635717458907,0.549560546875,0.450439453125,59.863632581261136
42,43,22088,4340,81414,4240,20000,20607,400000000,26751,22088,4450,22088,4260,9742,75763,4096,1958,2.0919305413687437,0.47802734375,0.52197265625,73.8087343628888
43,44,22190,4601,81044,4721,21681,24285,373291600,22942,22190,5543,22190,4831,9572,77567,4096,2062,1.9864209505334627,0.50341796875,0.49658203125,68.63345021424385
44,45,21935,4901,81791,5012,21444,19985,366776336,23464,21935,9652,21935,5312,8991,80123,4096,1955,2.0951406649616366,0.47729492187500006,0.522705078125,73.96206942998775
45,46,19964,5743,73292,6054,20416,23884,343322368,22933,19964,6394,19964,6475,6856,79421,4096,1550,2.6425806451612903,0.37841796875,0.62158203125,97.17559568060514
46,47,23528,4460,87706,8219,22025,19976,394950000,23423,23528,4731,23528,4430,15155,82959,4096,2407,1.7017033651848774,0.587646484375,0.412353515625,53.16297289362717
47,48,22041,4239,82870,4240,20000,20627,400000000,27062,22041,4731,22041,4400,9331,75432,4096,1852,2.2116630669546438,0.4521484375,0.5478515625,79.37447515132192
48,49,22557,5012,83374,4671,21681,23834,373291600,22932,22557,5122,22557,5422,9551,78849,4096,1914,2.1400208986415885,0.46728515624999994,0.53271484375,76.08155947064442
49,50,23889,4149,90558,4170,21849,19975,392862800,23434,23889,4620,23889,7989,10955,84362,4096,2791,1.4675743461125044,0.681396484375,0.318603515625,38.361093318302146
50,51,22054,4921,82240,5011,17200,20597,344000000,27412,22054,5452,22054,5282,9823,79942,4096,2340,1.7504273504273504,0.5712890625,0.4287109375,55.98599583675966
51,52,23321,4260,85952,4100,20000,24085,391496944,23453,23321,4641,23321,4350,14894,80854,4096,2261,1.8115877930119417,0.552001953125,0.447998046875,59.420369444137386
52,53,23297,4521,86455,4630,21681,20647,373291600,26771,23297,5061,23297,4881,10103,77346,4096,2203,1.8592827961870178,0.537841796875,0.462158203125,62.01908199170006
53,54,23993,4109,88733,4661,21936,23814,393913600,22922,23993,4780,23993,4520,9762,75602,4096,1926,2.12668743509865,0.47021484375,0.52978515625,75.45655743612728
54,55,23154,4851,86554,8951,21369,19975,363752961,23504,23154,5623,23154,5452,12599,83229,4096,1909,2.145625982189628,0.466064453125,0.533935546875,76.34313429935962
55,56,22256,4219,83983,4190,22025,20647,394950000,26741,22256,4721,22256,4430,9753,76123,4096,2159,1.8971746178786475,0.527099609375,0.472900390625,64.03657362045362
56,57,22343,4550,82983,4380,20000,23995,391496944,22932,22343,4932,22343,4721,11546,77868,4096,1947,2.103749357986646,0.475341796875,0.524658203125,74.3721161347144
57,58,22065,10895,82796,4641,20000,60137,391496944,24275,22065,4921,22065,4420,9662,121957,4096,1957,2.092999489013797,0.47778320312499994,0.522216796875,73.85981993232676
58,59,22966,5092,84252,5222,16800,19985,336000000,26862,22966,5803,22966,5603,7287,77798,4096,1516,2.7018469656992083,0.3701171875,0.6298828125,99.39356005170266
59,60,22006,4550,80980,4641,21521,21228,367532400,27303,22006,5151,22006,4901,9511,78199,4096,1982,2.0665993945509586,0.48388671875,0.51611328125,72.59044518294104
60,61,23085,4059,87881,8159,20000,19976,400000000,23453,23085,4611,23085,4330,13881,79872,4096,2196,1.8652094717668488,0.5361328125,0.4638671875,62.33733640899225
61,62,22682,4360,84908,4260,20000,20607,391496944,26520,22682,4670,22682,4400,11016,84011,4096,2403,1.7045359966708282,0.586669921875,0.413330078125,53.329293098287486
62,63,23594,5373,89103,5091,20000,120364,391496944,32063,23594,5853,23594,5091,9632,189642,4096,1608,2.5472636815920398,0.392578125,0.607421875,93.5019716980432
63,64,22802,5824,86189,5452,20000,31171,400000000,37466,22802,6495,22802,6174,21960,128061,4096,2026,2.0217176702862782,0.49462890625000006,0.50537109375,70.3947481910715
64,65,21811,5572,82029,5833,21936,36443,393913600,31552,21811,12539,21811,6374,10664,111384,4096,1750,2.3405714285714287,0.42724609374999994,0.57275390625,85.03950998017841
65,66,19861,6555,73813,6986,16641,37014,323633757,31642,19861,13030,19861,7487,9191,113849,4096,1540,2.6597402597402597,0.3759765625,0.6240234375,97.8228471311669
66,67,22903,5773,85991,5953,21521,34529,367532400,28455,22903,7096,22903,6626,18101,111675,4096,2161,1.8954187875983342,0.527587890625,0.472412109375,63.943981021245776
67,68,21283,6104,79678,6275,16800,38056,336000000,31141,21283,7136,21283,12468,11496,114040,4096,2030,2.017733990147783,0.49560546875000006,0.50439453125,70.19750946835106
68,69,22145,6094,80549,6375,17200,37666,344000000,31442,22145,7016,22145,12428,11497,114360,4096,2093,1.9569995222169134,0.510986328125,0.489013671875,67.14124442733439
69,70,24294,5242,89978,6014,21521,36643,367532400,31181,24294,8659,24294,13079,12047,115623,4096,2035,2.0127764127764127,0.496826171875,0.503173828125,69.95150688426483
70,71,22879,5242,87189,5573,20000,38297,391496944,31242,22879,6364,22879,11706,12439,112115,4096,2103,1.947693770803614,0.513427734375,0.486572265625,66.66459910166441
71,72,22210,5502,81907,5833,21849,37285,392862800,30940,22210,6695,22210,6365,17069,111855,4096,1670,2.452694610778443,0.40771484375,0.59228515625,89.7187261308543
72,73,23482,4941,87854,5493,20000,37135,391496944,31161,23482,6324,23482,6215,18191,111033,4096,2008,2.039840637450199,0.490234375,0.509765625,71.28716859077238
73,74,23810,5212,88961,5463,20000,36483,400000000,27964,23810,17740,23810,4451,11706,111174,4096,1485,2.7582491582491584,0.362548828125,0.637451171875,101.45961154825439
74,75,22927,4720,85025,5081,21681,19996,373291600,26530,22927,5172,22927,4942,9892,77346,4096,2071,1.9777885079671655,0.505615234375,0.494384765625,68.19793053237595
75,76,22363,4821,83629,4961,21444,23574,366776336,23554,22363,5432,22363,5132,7858,76856,4096,1791,2.2869905080960358,0.437255859375,0.562744140625,82.72367646586319
76,77,21608,8299,81192,4901,21521,20647,367532400,22942,21608,5302,21608,8299,8951,82067,4096,1928,2.12448132780083,0.470703125,0.529296875,75.35276915488528
77,78,22276,5122,83292,5082,21369,19985,363752961,26391,22276,6044,22276,5432,8479,77687,4096,1777,2.305008441193022,0.433837890625,0.566162109375,83.50843385646924
78,79,19401,6004,70177,6054,20071,23443,337587923,23463,19401,6635,19401,6425,9732,83761,4096,1363,3.005135730007337,0.332763671875,0.667236328125,110.03227350228111
79,80,21125,5192,80009,5332,16800,20627,336000000,26320,21125,5813,21125,5583,8369,78038,4096,1816,2.2555066079295156,0.44335937499999994,0.556640625,81.33746075581053
80,81,22441,4912,84983,4761,21600,19985,370400000,26861,22441,5302,22441,5141,8168,76635,4096,1727,2.3717429067747537,0.42163085937500006,0.578369140625,86.3625088572665
81,82,22023,4941,81398,4721,21764,23884,391795200,23023,22023,5121,22023,4891,11115,78459,4096,1483,2.7619689817936615,0.362060546875,0.637939453125,101.59438245814117
82,83,22128,4180,83603,4210,20000,20607,400000000,26310,22128,4630,22128,4320,8069,73938,4096,1544,2.6528497409326426,0.376953125,0.623046875,97.56344361346223
83,84,23975,4791,89445,4651,21600,19986,370400000,26771,23975,5212,23975,4971,8610,75903,4096,1798,2.278086763070078,0.43896484375,0.56103515625,82.33359516877782
84,85,22952,4200,86020,4210,20000,23423,391496944,23444,22952,4610,22952,4400,9472,79641,4096,1964,2.085539714867617,0.47949218750000006,0.5205078125,73.50276778049324
85,86,22283,4701,82299,4761,21681,20607,373291600,26219,22283,5141,22283,4932,9722,76896,4096,1969,2.0802437785678007,0.48071289062500006,0.519287109375,73.24850880802181
86,87,24110,4079,89920,4230,21849,19985,392862800,26320,24110,5202,24110,4511,10343,76074,4096,2535,1.6157790927021696,0.618896484375,0.381103515625,47.98172506940601
87,88,24020,4320,90356,4300,21681,23524,373291600,23413,24020,4811,24020,4580,14162,81696,4096,2550,1.6062745098039215,0.62255859375,0.37744140625,47.391752856687184
88,89,22661,4159,84852,4160,20000,20607,400000000,26330,22661,4540,22661,4410,10785,75873,4096,2188,1.8720292504570384,0.5341796875,0.4658203125,62.70230031774718
89,90,21532,4270,79268,4330,20000,19986,400000000,26871,21532,4591,21532,4360,9541,75562,4096,1893,2.1637612255678818,0.462158203125,0.537841796875,77.1848015510021
90,91,22616,4149,85194,4249,20000,23494,400000000,23443,22616,4710,22616,4410,13190,78810,4096,2047,2.0009770395701025,0.499755859375,0.500244140625,69.36355810580541
91,92,22254,4160,83568,4210,20000,20607,400000000,26290,22254,4520,22254,4290,11045,77116,4096,2333,1.755679382768967,0.569580078125,0.430419921875,56.285589469791375
92,93,23851,4050,88588,4079,22025,19976,394950000,26871,23851,4540,23851,4380,11325,76635,4096,2674,1.531787584143605,0.65283203125,0.34716796875,42.64354090574552
