,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,11372,8041,38127,8223,7119,20124,139431600,27374,11372,9095,11372,8724,178893,272185,4096,1219,3.3601312551271536,0.297607421875,0.702392578125,82.50960983473423
1,2,14675,55199,54362,7340,17200,25228,246017872,23042,14675,8864,14675,12013,33410,169999,4096,1400,2.9257142857142857,0.341796875,0.658203125,93.1498832352662
2,3,9570,8453,30789,8393,5600,20014,111997599,27484,9570,9315,9570,8814,140790,225770,4096,786,5.211195928753181,0.19189453124999997,0.80810546875,60.576346098713486
3,4,10978,8173,36364,8392,7119,20545,139431600,27685,10978,9436,10978,9054,164414,250095,4096,1243,3.2952534191472242,0.303466796875,0.696533203125,83.8586325281844
4,5,9147,8282,25534,8523,4975,20025,81401875,27494,9147,9295,9147,8894,60183,146636,4096,1075,3.810232558139535,0.262451171875,0.737548828125,74.75572299518316
5,6,18726,5576,71932,5645,21600,24616,370400000,23032,18726,6337,18726,5896,86233,159731,4096,1900,2.1557894736842105,0.4638671875,0.5361328125,130.18172039868165
6,7,7936,7851,20814,7992,4975,24275,81401875,23534,7936,8162,7936,7922,109556,190104,4096,1054,3.886148007590133,0.25732421875,0.74267578125,73.66925129989946
7,8,20500,4442,74566,4502,20000,23945,391496944,23464,20500,5735,20500,5194,59450,130252,4096,1505,2.721594684385382,0.367431640625,0.632568359375,99.87834921574553
8,9,24233,4381,92867,8543,20000,20575,391496944,22982,24233,6317,24233,9105,62799,137902,4096,2764,1.4819102749638204,0.6748046875,0.3251953125,254.23816170322797
9,10,26265,4302,99545,4783,21849,20014,392862800,26903,26265,6327,26265,5976,58458,131986,4096,3139,1.304874163746416,0.766357421875,0.233642578125,375.7892374265918
10,11,9315,8603,25854,8684,6336,24055,124553216,23423,9315,9666,9315,9154,18571,105947,4096,684,5.988304093567251,0.1669921875,0.8330078125,55.87190697688642
11,12,21065,6227,75775,6166,19024,20004,320827904,26963,21065,7751,21065,7079,87486,165005,4096,2564,1.5975039001560063,0.6259765625,0.3740234375,213.47344082371015
12,13,11580,7922,38976,7971,7119,20004,139431600,26682,11580,9014,11580,8543,179064,260143,4096,1359,3.013980868285504,0.331787109375,0.668212890625,90.64032154401937
13,14,15695,6738,59295,6839,19375,20024,326562500,27384,15695,7540,15695,6949,60905,138103,4096,1421,2.8824771287825475,0.346923828125,0.653076171875,94.45992193052089
14,15,11114,7581,36880,11671,15796,20605,222662400,22972,11114,8263,11114,11461,75093,159581,4096,1004,4.079681274900398,0.2451171875,0.7548828125,71.1228009701102
15,16,24904,4392,94102,4472,21849,20004,392862800,27465,24904,6417,24904,5756,51118,122962,4096,2403,1.7045359966708282,0.586669921875,0.413330078125,187.51420502742647
16,17,21414,6167,78962,6317,20416,24105,343322368,23453,21414,7881,21414,7330,41682,117809,4096,1896,2.160337552742616,0.46289062500000006,0.537109375,129.82553666905713
17,18,15895,6929,59248,6999,17200,23954,246017872,23433,15895,8383,15895,7811,116063,195387,4096,1987,2.061399094111726,0.485107421875,0.514892578125,138.2389882054568
18,19,15425,6879,57243,11000,16000,20575,220000000,22982,15425,12152,15425,7981,151219,233782,4096,1998,2.05005005005005,0.48779296875,0.51220703125,139.30211167198956
19,20,17092,5956,65519,5916,15369,24636,213289761,22962,17092,7450,17092,6968,76076,151168,4096,3079,1.3303020461188697,0.751708984375,0.248291015625,350.3780348510534
20,21,13473,6498,50125,6478,14944,19994,236680192,27203,13473,7691,13473,7461,78080,154617,4096,2823,1.450938717676231,0.689208984375,0.310791015625,268.665005239159
21,22,31580,8543,120712,4612,21681,20596,373291600,22962,31580,5695,31580,9275,44380,117958,4096,3825,1.0708496732026145,0.9338378906249999,0.06616210937500011,1460.8687220976033
22,23,34241,8453,132447,4061,20000,20575,400000000,22962,34241,5154,34241,8643,36739,108603,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
23,24,19854,6538,76602,6407,18800,24737,276000000,22952,19854,7430,19854,10890,30813,113788,4096,2165,1.8919168591224018,0.528564453125,0.471435546875,156.84047343522292
24,25,9939,7731,32426,7931,4800,24647,96000000,22942,9939,9074,9939,12083,103159,188589,4096,1274,3.2150706436420724,0.31103515625,0.68896484375,85.62748411194151
25,26,14364,6628,53292,6628,16600,25930,232000000,23514,14364,8062,14364,7571,113366,194635,4096,2023,2.024715768660405,0.49389648437500006,0.506103515625,141.75764433208977
26,27,14341,6527,53368,10529,16600,20616,232000000,24746,14341,8001,14341,11261,105013,187587,4096,2021,2.0267194458189017,0.49340820312499994,0.506591796875,141.5591567531478
27,28,14274,10518,53020,6508,16600,20575,232000000,22983,14274,11571,14274,7601,101714,183265,4096,2020,2.0277227722772277,0.4931640625,0.5068359375,141.46004779255125
28,29,14312,6548,53187,6668,16600,20055,232000000,26862,14312,8112,14312,7761,97353,174360,4096,2010,2.0378109452736317,0.49072265625000006,0.50927734375,140.47387006757444
29,30,14182,6528,52480,6658,16600,20004,232000000,26903,14182,8142,14182,7671,107400,185330,4096,1987,2.061399094111726,0.485107421875,0.514892578125,138.2389882054568
30,31,14279,6899,53084,6588,16600,20024,232000000,26742,14279,8353,14279,7530,105315,182252,4096,2022,2.025717111770524,0.49365234375,0.50634765625,141.6583555548709
31,32,14358,6517,53291,6387,16600,19994,232000000,27304,14358,8032,14358,7610,111171,189090,4096,2029,2.018728437654017,0.49536132812499994,0.504638671875,142.35527403756342
32,33,14231,6557,53095,6528,16600,23945,232000000,23413,14231,7922,14231,7530,108283,185982,4096,2060,1.9883495145631067,0.5029296875,0.4970703125,145.49583348216163
33,34,14393,6698,53344,6497,16600,23855,232000000,23413,14393,8032,14393,7691,102086,179274,4096,2016,2.0317460317460316,0.4921875,0.5078125,141.06450768289437
34,35,14295,6567,53260,6547,16600,23895,232000000,23443,14295,8012,14295,7561,108884,187166,4096,2034,2.0137659783677484,0.49658203124999994,0.50341796875,142.85579794922512
35,36,14275,6548,53101,6508,16600,24366,232000000,22962,14275,7841,14275,11201,101073,181300,4096,2031,2.016740521910389,0.49584960937499994,0.504150390625,142.55520987607477
36,37,14445,6498,53344,10428,16600,20556,232000000,22942,14445,7871,14445,11079,95207,177028,4096,1998,2.05005005005005,0.48779296875,0.51220703125,139.30211167198956
37,38,19952,5926,71074,5976,19024,24536,320827904,22972,19952,7310,19952,10569,90815,169788,4096,2521,1.6247520825069417,0.615478515625,0.384521484375,206.03465638187592
38,39,19968,4101,73408,4101,20000,24245,400000000,23453,19968,4131,19968,3930,57966,123373,4096,2893,1.4158313169720014,0.706298828125,0.293701171875,287.590309824695
