,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,30192,5290,113524,5210,17000,28073,340000000,30247,30192,10490,120768,6473,86455,238665,4096,3142,1.3036282622533417,0.7670898437500001,0.2329101562499999,377.1430950307286
1,2,34316,4178,131754,4167,20000,24106,400000000,33614,34316,5711,137264,5130,41199,123516,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
2,3,34055,4138,131661,4158,20000,27582,400000000,32692,34055,5461,136220,5010,43122,127583,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
3,4,34166,4148,131588,4138,20000,20730,400000000,33474,34166,5350,136664,62679,38202,179151,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
4,5,34214,4138,131755,4168,20000,20068,400000000,33984,34214,5180,136856,4819,41680,119598,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
5,6,34252,4098,131589,4138,20000,24196,400000000,29958,34252,5410,137008,5050,37452,119117,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
6,7,34335,4178,131965,4188,20000,20679,400000000,33264,34335,5280,137340,4800,37822,119558,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
7,8,34156,4158,131689,4168,20000,20048,400000000,33915,34156,5311,136624,4979,41318,119167,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
8,9,34289,4158,131863,4128,20000,24197,400000000,29957,34289,5270,137156,4939,41239,119007,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
9,10,34165,4108,132079,4148,20000,20689,400000000,33334,34165,5290,136660,4829,37752,115440,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
10,11,34408,4578,132036,4137,20000,20058,400000000,33624,34408,5460,137632,4900,40577,118285,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
