,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,29755,9318,112034,5160,21369,20159,363752961,34466,29755,6693,119020,6453,88569,236482,4096,2736,1.4970760233918128,0.66796875,0.33203125,247.82294483436482
1,2,32848,4168,126159,4178,20000,20099,391496944,33684,32848,5811,131392,5390,40978,117825,4096,3058,1.3394375408763899,0.74658203125,0.25341796875,342.17305457401943
2,3,32788,4138,125690,4158,20000,24577,400000000,30147,32788,5701,131152,5260,48783,125911,4096,3012,1.3598937583001327,0.7353515625,0.2646484375,325.30208271992063
3,4,32619,4168,124771,4198,20000,20068,391496944,34235,32619,5721,130476,5380,36290,117454,4096,2954,1.3865944482058226,0.72119140625,0.27880859375,305.95008329493385
4,5,32965,4188,126320,4148,20000,20058,391496944,33744,32965,5481,131860,5060,40397,123155,4096,3247,1.261472128118263,0.792724609375,0.207275390625,430.51601785472127
5,6,33144,4168,127285,4618,20000,23995,400000000,29506,33144,5601,132576,5341,40096,119078,4096,3315,1.2355957767722474,0.809326171875,0.190673828125,472.6941955999471
6,7,32787,4278,125433,4268,20000,20058,400000000,34676,32787,5591,131148,5170,36209,113517,4096,3120,1.3128205128205128,0.76171875,0.23828125,367.40677760620827
7,8,32707,4248,125198,4178,20000,20058,391496944,33815,32707,5581,130828,5100,39906,116192,4096,3083,1.3285760622770029,0.752685546875,0.247314453125,351.9791485113768
8,9,33567,4198,128981,4168,20000,24417,400000000,30087,33567,5480,134268,4910,41189,120019,4096,3529,1.1606687446868802,0.861572265625,0.138427734375,671.1574120340632
9,10,33365,8165,127790,4158,20000,20048,400000000,30448,33365,8786,133460,4839,36109,117885,4096,3340,1.2263473053892215,0.8154296875,0.1845703125,490.0997864395685
10,11,33582,4379,129206,4258,20000,20048,391496944,33544,33582,5350,134328,4929,41930,120099,4096,3539,1.1573890929641142,0.864013671875,0.135986328125,684.1504208709335
11,12,34285,4158,131644,4158,20000,24557,400000000,29486,34285,5291,137140,4909,42201,119869,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
12,13,34455,4619,131680,7905,20000,20049,400000000,30308,34455,9138,137820,4959,37080,119067,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
13,14,34144,4168,131699,4158,20000,20058,400000000,34116,34144,5300,136576,4950,41730,119939,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
14,15,34428,4158,131778,4158,20000,24577,400000000,30068,34428,5300,137712,4829,89431,167680,4096,4114,0.9956246961594555,1.00439453125,-0.00439453125,-22805.519014704623
15,16,34291,4168,131879,4148,20000,24827,400000000,30118,34291,5350,137164,5321,41108,120480,4096,4033,1.0156211257128689,0.984619140625,0.015380859375,6451.458132339134
16,17,33770,4137,130121,4148,20000,20058,400000000,33524,33770,5350,135080,4879,36900,113987,4096,3665,1.117598908594816,0.8947753906249999,0.10522460937500011,899.4216974035439
17,18,33870,4198,130040,4188,20000,20049,400000000,33754,33870,5300,135480,4899,40868,118626,4096,3670,1.1160762942779292,0.89599609375,0.10400390625,910.587371102316
18,19,33535,4318,128411,4167,20000,24526,400000000,30067,33535,5210,134140,4839,40177,118526,4096,3399,1.2050603118564283,0.8298339843750001,0.1701660156249999,536.1078931907499
19,20,33609,8095,128629,4208,20000,20048,400000000,35338,33609,5320,134436,4850,36429,119298,4096,3485,1.17532281205165,0.850830078125,0.149169921875,619.0308268573835
20,21,33688,4148,128891,4158,20000,20059,400000000,33814,33688,5320,134752,4839,40246,117565,4096,3528,1.1609977324263039,0.861328125,0.138671875,669.8832244351227
21,22,33039,4098,126820,4148,20000,24467,400000000,30058,33039,5180,132156,4799,39586,115541,4096,3219,1.2724448586517552,0.785888671875,0.214111328125,415.0408557937455
22,23,32823,4198,126409,4649,20000,24026,400000000,29487,32823,5791,131292,8587,35458,115150,4096,3158,1.2970234325522483,0.77099609375,0.22900390625,384.50894676573057
23,24,32925,4198,126385,4148,20000,20048,400000000,36169,32925,5350,131700,4930,36429,125339,4096,3246,1.2618607516943932,0.79248046875,0.20751953125,429.94586974076043
24,25,33080,4198,126957,4148,20000,20719,400000000,33293,33080,5280,132320,4869,39686,115421,4096,3210,1.27601246105919,0.78369140625,0.21630859375,410.27332513923795
25,26,33240,4128,127562,4148,20000,24407,400000000,30047,33240,5270,132960,5240,38934,117945,4096,3257,1.2575990175007676,0.795166015625,0.204833984375,436.2918723290548
26,27,33555,8215,128811,4158,20000,20058,400000000,35077,33555,5209,134220,4759,35919,118807,4096,3482,1.1763354394026422,0.85009765625,0.14990234375,615.7482046913631
27,28,32927,4188,126160,4158,20000,20058,400000000,33815,32927,5420,131708,4999,40197,115932,4096,3178,1.288860918816866,0.77587890625,0.22412109375,394.0749730342039
28,29,32730,4118,125312,4158,20000,24476,400000000,30087,32730,5471,130920,5090,39586,121061,4096,3055,1.3407528641571196,0.7458496093749999,0.2541503906250001,341.02771998208055
