,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,20987,5701,78380,5831,16900,28183,328370000,28434,20987,10079,83948,6803,88278,235118,4096,1257,3.258552108194113,0.306884765625,0.693115234375,84.65372272734635
1,2,24382,4769,91344,4739,21444,20098,366776336,35297,24382,5610,97528,5110,61928,146680,4096,2424,1.6897689768976898,0.591796875,0.408203125,190.62439839333948
2,3,23871,4268,89948,8466,21764,20789,391795200,28374,23871,4939,95484,8235,43062,126772,4096,1514,2.7054161162483488,0.36962890625,0.63037109375,100.47668826433937
3,4,23888,4228,89046,4319,22025,20068,394950000,67068,23888,9208,95552,5020,43693,159063,4096,1864,2.1974248927038627,0.455078125,0.544921875,127.01861613141135
4,5,20449,5540,77035,5711,17161,20078,333145837,32782,20449,6282,81796,5991,53161,136269,4096,1614,2.5377942998760843,0.39404296875,0.60595703125,107.37732497853125
5,6,22223,9348,83844,4959,21444,20058,366776336,31930,22223,6001,88892,5260,56387,136891,4096,1987,2.061399094111726,0.485107421875,0.514892578125,138.2389882054568
6,7,13225,7164,48354,7224,16225,24727,231002500,28334,13225,7845,52900,7675,146990,239256,4096,920,4.452173913043478,0.224609375,0.775390625,66.96163280755944
7,8,22581,4980,83944,8857,21444,20770,366776336,31851,22581,9218,90324,5721,60566,147642,4096,1933,2.1189860320744955,0.471923828125,0.528076171875,133.16684148780783
8,9,22464,4238,83900,4378,20000,24306,400000000,28645,22464,4849,89856,4328,53802,135037,4096,1754,2.3352337514253136,0.42822265625,0.57177734375,117.90895628471587
9,10,23009,4418,86022,4308,20000,20058,391496944,32501,23009,4899,92036,4539,46930,120470,4096,1579,2.5940468651044966,0.385498046875,0.614501953125,104.90766970170375
10,11,23988,4579,90098,4338,21936,24016,393913600,28885,23988,4729,95952,4398,47420,121611,4096,1597,2.5648090169067,0.389892578125,0.610107421875,106.17018447642357
11,12,22632,4829,84793,8827,21521,20769,367532400,28304,22632,5310,90528,8767,58531,138685,4096,2022,2.025717111770524,0.49365234375,0.50634765625,141.6583555548709
12,13,22334,4268,83102,4278,22025,20068,394950000,32893,22334,4719,89336,4359,52069,127893,4096,1842,2.223669923995657,0.44970703125,0.55029296875,125.13155238016311
13,14,21717,4439,81733,8396,22025,20720,394950000,28314,21717,9829,86868,4950,57459,137381,4096,1610,2.5440993788819877,0.39306640625,0.60693359375,107.09198362298677
14,15,21855,6172,81590,6642,21521,43132,367532400,44745,21855,7263,87420,6883,81405,206884,4096,1656,2.473429951690821,0.404296875,0.595703125,110.42331717773253
15,16,22692,6122,82776,11031,21521,38534,367532400,44765,22692,7243,90768,6843,70484,188499,4096,1746,2.345933562428408,0.42626953125,0.57373046875,117.27681862246968
16,17,18981,7013,71255,7394,20071,42631,337587923,45006,18981,8296,75924,7956,218396,340458,4096,1327,3.086661642803316,0.323974609375,0.676025390625,88.72404888170176
17,18,20198,6773,76231,7154,17161,42711,333145837,44736,20198,7845,80792,7605,109278,229978,4096,1512,2.708994708994709,0.369140625,0.630859375,100.34341429968548
