,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,11372,8277,38127,8407,7119,21419,139431600,27599,11372,9110,11372,8889,12239,104788,4096,1311,3.124332570556827,0.320068359375,0.679931640625,87.77930518304463
1,2,14675,7243,54362,7404,17200,20677,246017872,27509,14675,8808,14675,8237,7193,90993,4096,1436,2.852367688022284,0.3505859375,0.6494140625,95.40624491841251
2,3,9570,8176,30789,8417,5600,24057,111997599,24078,9570,9190,9570,12259,4203,95698,4096,826,4.958837772397095,0.20166015625,0.79833984375,62.45427592873014
3,4,10978,8036,36364,8236,7119,20034,139431600,27549,10978,9230,10978,8658,9290,92137,4096,1354,3.0251107828655837,0.33056640625,0.66943359375,90.3385036197055
4,5,9147,11998,25534,8387,4975,20656,81401875,23556,9147,12761,9147,8728,5518,93862,4096,1009,4.059464816650149,0.246337890625,0.753662109375,71.37498174809365
5,6,18726,5608,71932,5628,21600,23978,370400000,23556,18726,6862,18726,5849,11778,85104,4096,2001,2.046976511744128,0.488525390625,0.511474609375,139.59387048042598
6,7,7936,7946,20814,7966,4975,20757,81401875,27478,7936,8216,7936,7926,4836,89147,4096,1205,3.3991701244813277,0.294189453125,0.705810546875,81.73064170932524
7,8,20500,4525,74566,4454,20000,24028,391496944,23465,20500,5778,20500,5016,5337,75784,4096,1494,2.7416331994645247,0.36474609375,0.63525390625,99.15187459331625
8,9,24233,4214,92867,8176,20000,20004,391496944,23967,24233,6150,24233,9139,14276,89869,4096,2873,1.4256874347372086,0.701416015625,0.298583984375,281.9648717372127
9,10,26265,4394,99545,4525,21849,20004,392862800,27670,26265,6180,26265,6069,14056,88274,4096,3226,1.2696838189708617,0.78759765625,0.21240234375,418.8167531529441
10,11,9315,12591,25854,8758,6336,20687,124553216,28532,9315,9661,9315,9330,3391,98357,4096,695,5.893525179856115,0.169677734375,0.830322265625,56.374415197135704
11,12,21065,6411,75775,6110,19024,23806,320827904,23727,21065,7865,21065,7133,14787,92809,4096,2500,1.6384,0.6103515625,0.3896484375,202.5438880962722
12,13,11580,7755,38976,7905,7119,20627,139431600,26926,11580,8979,11580,8698,9831,91484,4096,1528,2.680628272251309,0.373046875,0.626953125,101.41461245112436
13,14,15695,6692,59295,10464,19375,20004,326562500,23456,15695,7564,15695,10654,7926,88074,4096,1475,2.776949152542373,0.360107421875,0.639892578125,97.90935160722826
14,15,11114,7725,36880,7916,15796,19994,222662400,26867,11114,8367,11114,8036,4715,86830,4096,1151,3.558644656820156,0.281005859375,0.718994140625,78.77863135123351
15,16,24904,4374,94102,4565,21849,23867,392862800,23456,24904,6400,24904,5748,14156,86660,4096,2437,1.6807550266721378,0.594970703125,0.405029296875,192.58801412715175
16,17,21414,6270,78962,6541,20416,20195,343322368,26826,21414,7915,21414,7575,8036,84151,4096,2002,2.045954045954046,0.48876953125,0.51123046875,139.69129765663365
17,18,15895,7133,59248,11086,17200,20015,246017872,23445,15895,8458,15895,11387,8688,91835,4096,2004,2.0439121756487024,0.48925781250000006,0.5107421875,139.88641414530093
