,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,30192,5197,113524,5137,17000,24762,340000000,23109,30192,6688,30192,9823,6809,92539,4096,3175,1.2900787401574803,0.775146484375,0.224853515625,25.47032553925516
1,2,34316,4095,131754,4095,20000,23771,400000000,23540,34316,5287,34316,5107,1442,69420,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
2,3,34055,4055,131661,4065,20000,24111,400000000,22990,34055,5277,34055,5106,1352,69159,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
3,4,34166,7810,131588,4336,20000,20186,400000000,22979,34166,5387,34166,8400,1352,72734,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
4,5,34214,4015,131755,4216,20000,19966,400000000,26403,34214,5707,34214,5107,1311,68408,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
5,6,34252,4085,131589,4065,20000,19956,400000000,26714,34252,5287,34252,5097,1322,68378,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
6,7,34335,4025,131965,4045,20000,23490,400000000,23391,34335,5126,34335,4977,1331,67998,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
7,8,34156,4015,131689,4075,20000,23991,400000000,22910,34156,5307,34156,5086,1322,69069,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
8,9,34289,4035,131863,4526,20000,19956,400000000,22919,34289,5117,34289,5076,1332,67958,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
9,10,34165,4095,132079,4106,20000,19965,400000000,26404,34165,5678,34165,5096,1312,68378,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
10,11,34408,4085,132036,4045,20000,19956,400000000,26714,34408,5157,34408,5007,1301,68307,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
11,12,34144,4075,131798,4066,20000,23330,400000000,23390,34144,5166,34144,5076,1322,68347,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-0.4870930234596566
