,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,29755,5108,112034,5028,21369,20071,363752961,27583,29755,6620,29755,6340,8323,90290,4096,2851,1.4366888810943528,0.696044921875,0.303955078125,275.9830616095792
1,2,32848,4066,126159,4067,20000,20000,391496944,26631,32848,6049,32848,5218,6270,76007,4096,3162,1.295382669196711,0.77197265625,0.22802734375,386.3895831136064
2,3,32788,4076,125690,4077,20000,19990,400000000,27242,32788,5418,32788,5228,5819,73593,4096,3091,1.3251374959560014,0.754638671875,0.245361328125,355.2193133686159
3,4,32619,4277,124771,4086,20000,24368,391496944,22935,32619,5479,32619,5298,6700,74174,4096,3057,1.3398756951259405,0.746337890625,0.253662109375,341.79054756918276
4,5,32965,4016,126320,4056,20000,19981,391496944,22916,32965,9324,32965,5048,5519,72842,4096,3298,1.2419648271679806,0.80517578125,0.19482421875,461.4788308063001
5,6,33144,4026,127285,4056,20000,19981,400000000,27092,33144,5318,33144,5118,4127,71590,4096,3669,1.1163804851458163,0.895751953125,0.104248046875,908.3333395642936
6,7,32787,4117,125433,4096,20000,24678,400000000,22916,32787,5388,32787,5248,5789,73243,4096,3168,1.292929292929293,0.7734374999999999,0.2265625000000001,389.2407416527542
7,8,32707,4336,125198,7923,20000,20321,391496944,22915,32707,5369,32707,5188,9695,76979,4096,3237,1.2653691689836268,0.790283203125,0.209716796875,424.87396990169304
8,9,33567,4026,128981,4146,20000,19961,400000000,27082,33567,5328,33567,5138,4908,72302,4096,3624,1.130242825607064,0.884765625,0.115234375,816.7765941417666
9,10,33365,4347,127790,4076,20000,19961,400000000,27262,33365,5238,33365,5058,3465,71500,4096,3881,1.0553980932749292,0.947509765625,0.052490234375,1854.66698387757
10,11,33582,4157,129206,4126,20000,24278,391496944,22925,33582,5218,33582,5108,4948,72632,4096,3665,1.117598908594816,0.8947753906249999,0.10522460937500011,899.4216974035439
11,12,34285,8032,131644,4157,20000,19971,400000000,22915,34285,5248,34285,8844,1422,72372,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
12,13,34455,4236,131680,4057,20000,19971,400000000,27161,34455,5238,34455,5128,1322,69097,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
13,14,34144,4187,131699,4076,20000,19951,400000000,27162,34144,5278,34144,5098,1302,68746,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
14,15,34428,4277,131778,4066,20000,24308,400000000,22905,34428,5228,34428,5028,1272,68986,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
15,16,34291,4016,131879,4077,20000,24357,400000000,22916,34291,5178,34291,5058,1322,68996,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
16,17,33770,4026,130121,4066,20000,41294,400000000,27272,33770,5298,33770,5188,3716,93244,4096,3889,1.0532270506556956,0.949462890625,0.050537109375,1928.3118237836582
17,18,33870,4036,130040,4066,20000,24598,400000000,22916,33870,5218,33870,5028,1342,69146,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
18,19,33535,4046,128411,4547,20000,19981,400000000,22916,33535,5228,33535,8573,4988,75696,4096,3566,1.1486259113853057,0.87060546875,0.12939453125,721.6758382971959
19,20,33609,4046,128629,4067,20000,19960,400000000,27202,33609,5259,33609,5068,1672,68836,4096,4072,1.005893909626719,0.9941406250000001,0.005859374999999889,17016.61769495765
20,21,33688,4037,128891,4066,20000,19971,400000000,27212,33688,5218,33688,5068,4777,72402,4096,3627,1.1293079680176454,0.885498046875,0.114501953125,822.3344224174159
21,22,33039,4276,126820,4066,20000,24388,400000000,22925,33039,5138,33039,4968,4867,72191,4096,3375,1.2136296296296296,0.823974609375,0.176025390625,516.4874054408461
22,23,32823,7903,126409,4577,20000,19961,400000000,22915,32823,5188,32823,8533,5349,76067,4096,3486,1.1749856569133676,0.8510742187500001,0.1489257812499999,620.1321923614194
23,24,32925,4117,126385,4076,20000,19981,400000000,27092,32925,5338,32925,5198,5399,72922,4096,3468,1.1810841983852365,0.8466796875,0.1533203125,600.8429990023536
24,25,33080,4126,126957,4066,20000,19961,400000000,27192,33080,5128,33080,5028,5198,72212,4096,3393,1.2071912761567933,0.828369140625,0.171630859375,531.0775934765857
25,26,33240,4067,127562,4086,20000,24448,400000000,22925,33240,5278,33240,5108,1332,68946,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
26,27,33555,7712,128811,4547,20000,19961,400000000,22905,33555,5218,33555,8493,4807,75346,4096,3715,1.102557200538358,0.9069824218750001,0.09301757812499989,1024.2521442770305
27,28,32927,4056,126160,4096,20000,19961,400000000,27322,32927,5288,32927,5128,5759,73192,4096,3289,1.245363332319854,0.802978515625,0.197021484375,455.73176466053303
28,29,32730,4136,125312,4066,20000,19960,400000000,27152,32730,5339,32730,5208,5668,72472,4096,3151,1.2999047921294826,0.769287109375,0.230712890625,381.25589701157867
29,30,34076,4016,131137,4076,20000,24428,400000000,22915,34076,5259,34076,5098,3245,70609,4096,3900,1.0502564102564103,0.9521484375,0.0478515625,2039.3873152859082
30,31,34191,4427,131755,4066,20000,19961,400000000,22915,34191,8754,34191,5659,1322,68736,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
31,32,33460,4197,128065,4076,20000,19971,400000000,27262,33460,5158,33460,4998,5098,72482,4096,3476,1.1783659378596087,0.8486328125,0.1513671875,609.2780359682655
32,33,33486,4237,128391,4066,20000,23717,400000000,23426,33486,5328,33486,5258,2784,70329,4096,3960,1.0343434343434343,0.966796875,0.033203125,2961.48332070898
33,34,33425,4097,128523,4076,20000,24368,400000000,22915,33425,5168,33425,4928,4587,71570,4096,3716,1.1022604951560817,0.9072265625000001,0.09277343749999989,1027.0835061121466
34,35,33866,4827,129654,4076,20000,19961,400000000,22915,33866,8794,33866,5568,4047,72221,4096,3806,1.0761954808197582,0.92919921875,0.07080078125,1361.8019137678423
35,36,34265,4126,131746,4096,20000,19961,400000000,27382,34265,5178,34265,5007,1693,69197,4096,4088,1.0019569471624266,0.998046875,0.001953125,51149.983708045525
36,37,34211,4046,131896,4067,20000,19961,400000000,27161,34211,5238,34211,5138,1282,68886,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
37,38,34274,4027,131270,4076,20000,24327,400000000,22915,34274,5308,34274,5078,1953,69117,4096,4069,1.0066355369869746,0.9934082031250001,0.006591796874999889,15120.315256921407
38,39,31267,4127,120641,8283,20000,20000,391496944,22915,31267,5368,31267,43838,4447,110240,4096,2817,1.4540291089811856,0.687744140625,0.312255859375,267.13797010695765
39,40,34254,4126,132052,4106,20000,27182,400000000,23036,34254,5248,34254,4978,1933,73423,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
40,41,34203,4097,132240,4056,20000,19981,400000000,22945,34203,9375,34203,5128,1342,69016,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
41,42,34249,4076,132442,4076,20000,19971,400000000,27282,34249,5128,34249,5038,1302,68445,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
42,43,34271,4126,132403,4077,20000,23716,400000000,23457,34271,5178,34271,5008,1302,68746,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
43,44,34390,4097,132111,4076,20000,24368,400000000,22915,34390,5208,34390,5108,1302,68516,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
44,45,34414,4107,132326,8252,20000,20000,400000000,22906,34414,5238,34414,4998,4827,71981,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
45,46,34192,4026,132168,4076,20000,19970,400000000,27042,34192,5268,34192,5078,1312,68235,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
46,47,34287,4026,132434,4066,20000,19961,400000000,27182,34287,5218,34287,5038,1292,68536,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
47,48,34209,4437,132157,4076,20000,24448,400000000,22905,34209,5218,34209,4987,1282,68796,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
48,49,34400,4027,132312,4046,20000,24398,400000000,22915,34400,5188,34400,5098,1292,68846,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
49,50,34350,8333,132290,4237,20000,19960,400000000,22916,34350,5178,34350,8894,1302,72631,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
50,51,34219,4096,132301,4066,20000,19971,400000000,27242,34219,5178,34219,5028,1312,68535,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
51,52,34285,4187,132349,4046,20000,19961,400000000,27182,34285,5188,34285,5048,1302,68395,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
52,53,34297,4116,132424,4056,20000,24448,400000000,22916,34297,5178,34297,5038,1302,68746,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
53,54,34217,3996,132055,4047,20000,24818,400000000,22915,34217,5208,34217,12249,1332,80143,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
54,55,34273,4016,132555,4056,20000,19971,400000000,26631,34273,5739,34273,5058,1322,68505,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
55,56,34334,4096,132420,4056,20000,19961,400000000,27142,34334,5228,34334,5138,1292,68346,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
56,57,34311,4016,132249,4066,20000,23657,400000000,23406,34311,5238,34311,5008,1302,68335,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
57,58,34297,4186,132241,4057,20000,24307,400000000,22906,34297,5258,34297,5098,1302,68545,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
58,59,34452,7992,132053,4527,20000,19961,400000000,22915,34452,5198,34452,8513,1322,72021,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
59,60,34113,4436,132050,4057,20000,19961,400000000,26781,34113,5629,34113,5118,1292,69157,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
60,61,34114,4026,132135,4046,20000,19961,400000000,27332,34114,5138,34114,5088,1302,68536,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
61,62,34274,4236,132304,4056,20000,24397,400000000,22906,34274,5208,34274,5048,1292,68586,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
62,63,34099,4276,131693,4097,20000,24417,400000000,22916,34099,5248,34099,5128,1312,68866,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
63,64,34283,4437,131948,4076,20000,19961,400000000,22915,34283,5208,34283,9033,1312,68375,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
64,65,34320,4197,131997,4056,20000,19961,400000000,27202,34320,5178,34320,4988,1302,68505,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
65,66,34211,4357,132131,4056,20000,19961,400000000,27162,34211,5188,34211,5058,1292,68916,4096,4116,0.9951409135082604,1.0048828125,-0.0048828125,-20529.959408930536
