,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,11372,8235,38127,8115,7119,20087,139431600,27009,11372,9127,11372,8766,12733,103780,4096,1356,3.0206489675516224,0.3310546875,0.6689453125,110.5471698219003
1,2,14675,7344,54362,7303,17200,20007,246017872,26839,14675,8886,14675,8265,6743,86638,4096,1442,2.840499306518724,0.35205078125,0.64794921875,104.39798488744493
2,3,9570,8255,30789,8386,5600,24094,111997599,23012,9570,9217,9570,8786,7303,93741,4096,839,4.882002383790226,0.204833984375,0.795166015625,158.55554602521374
3,4,10978,7985,36364,8045,7119,19986,139431600,26909,10978,8987,10978,8546,8565,90294,4096,1422,2.880450070323488,0.34716796875,0.65283203125,105.79465563561577
4,5,9147,8285,25534,11851,4975,20598,81401875,22962,9147,9157,9147,11881,5320,95334,4096,1047,3.9121298949379177,0.255615234375,0.744384765625,136.40819558488067
5,6,18726,5600,71932,5700,21600,19976,370400000,26889,18726,6281,18726,5871,11751,84213,4096,2020,2.0277227722772277,0.4931640625,0.5068359375,70.69133763240933
6,7,7936,7884,20814,11541,4975,20598,81401875,22922,7936,11320,7936,8034,3837,90415,4096,1214,3.3739703459637562,0.29638671875,0.70361328125,121.60901950999002
7,8,20500,4438,74566,4438,20000,19976,391496944,26909,20500,5510,20500,5069,5320,76429,4096,1499,2.7324883255503667,0.36596679687500006,0.634033203125,100.52126686167459
8,9,24233,4338,92867,4388,20000,24124,391496944,22932,24233,6191,24233,5540,17703,90125,4096,2890,1.4173010380622837,0.70556640625,0.29443359375,34.87543856128658
9,10,26265,4218,99545,4298,21849,19976,392862800,26338,26265,6762,26265,5771,14155,85796,4096,3239,1.2645878357517752,0.790771484375,0.209228515625,23.474624754801443
10,11,9315,8596,25854,12042,6336,20598,124553216,22922,9315,9788,9315,12302,3497,93901,4096,702,5.834757834757835,0.17138671875,0.82861328125,176.38327626935327
11,12,21065,6111,75775,6211,19024,19966,320827904,26809,21065,7775,21065,7183,10559,87259,4096,2594,1.5790285273708558,0.63330078125,0.36669921875,45.68098018429545
12,13,11580,7774,38976,11411,7119,20567,139431600,22922,11580,12242,11580,8485,9768,96235,4096,1603,2.5552089831565814,0.391357421875,0.608642578125,93.81340141097908
13,14,15695,6652,59295,6742,19375,23343,326562500,23422,15695,7674,15695,7133,7914,83753,4096,1505,2.721594684385382,0.367431640625,0.632568359375,100.12179895363677
14,15,11114,10930,36880,7985,15796,19976,222662400,22922,11114,11631,11114,8205,4008,89894,4096,1177,3.480033984706882,0.287353515625,0.712646484375,124.7042059459067
15,16,24904,4478,94102,4598,21849,19966,392862800,26940,24904,6451,24904,5780,10539,80006,4096,2447,1.6738863914997957,0.597412109375,0.402587890625,51.514810327667206
16,17,21414,6231,78962,9578,20416,20618,343322368,35695,21414,8064,21414,7924,8105,97107,4096,2002,2.045954045954046,0.48876953125,0.51123046875,71.58642068441779
17,18,15895,6922,59248,6903,17200,23653,246017872,23453,15895,8425,15895,7884,8696,94903,4096,2072,1.9768339768339769,0.505859375,0.494140625,68.14965633399702
18,19,15425,6963,57243,6923,16000,54089,220000000,22972,15425,8425,15425,7925,10990,119408,4096,2171,1.886688162137264,0.530029296875,0.469970703125,63.48229968410519
19,20,17092,6020,65519,5950,15369,19986,213289761,26298,17092,7494,17092,7063,9728,83713,4096,3214,1.2744243932794026,0.78466796875,0.21533203125,24.24946204218858
20,21,13473,6512,50125,6492,14944,24034,236680192,22922,13473,7263,13473,7063,15198,90535,4096,2991,1.369441658308258,0.730224609375,0.269775390625,31.440310808939564
21,22,31580,4608,120712,4639,21681,19976,373291600,26328,31580,5871,31580,5420,3867,72913,4096,3870,1.0583979328165374,0.9448242187500001,0.05517578124999989,5.6756380695516135
22,23,34241,4027,132447,4077,20000,19976,400000000,26818,34241,5289,34241,5170,1342,68414,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-0.5356720868391084
23,24,19854,6271,76602,6381,18800,24004,276000000,22922,19854,7424,19854,7293,2695,77922,4096,2116,1.9357277882797732,0.5166015625,0.4833984375,66.04833737411538
24,25,9939,7804,32426,7995,4800,19976,96000000,26078,9939,9217,9939,8646,5409,86097,4096,1196,3.4247491638795986,0.2919921875,0.7080078125,123.10282322087667
25,26,14364,6502,53292,6391,16600,23373,232000000,23423,14364,8065,14364,7674,9477,86608,4096,2025,2.022716049382716,0.494384765625,0.505615234375,70.44411871787042
26,27,14341,6452,53368,6582,16600,19967,232000000,22932,14341,7944,14341,7694,9537,85566,4096,2074,1.9749276759884282,0.50634765625,0.49365234375,68.05317779298711
27,28,14274,6532,53020,6552,16600,23392,232000000,23412,14274,7935,14274,7574,8966,85176,4096,2055,1.9931873479318736,0.501708984375,0.498291015625,68.97350397890088
28,29,14312,6753,53187,6652,16600,19966,232000000,22931,14312,11161,14312,7704,9517,85746,4096,2046,2.0019550342130987,0.49951171875,0.50048828125,69.41242202077719
29,30,14182,6572,52480,6562,16600,23413,232000000,23403,14182,7944,14182,7463,9267,85556,4096,2059,1.9893152015541524,0.502685546875,0.497314453125,68.77904596915543
30,31,14279,6542,53084,6683,16600,19976,232000000,26238,14279,8115,14279,7604,9587,89193,4096,2067,1.9816158684083212,0.504638671875,0.495361328125,68.39126070375754
