,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,30192,5210,113524,5240,17000,23554,340000000,31219,30192,6823,120768,6612,10480,155415,4096,3167,1.2933375434164824,0.773193359375,0.226806640625,388.7630071539741
1,2,34316,4138,131754,4158,20000,23716,400000000,30077,34316,5380,137264,5099,2043,80373,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
2,3,34055,4168,131661,4158,20000,20899,400000000,33434,34055,5441,136220,4959,2064,80513,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
3,4,34166,4148,131588,4148,20000,23976,400000000,30328,34166,5420,136664,8706,1934,83749,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
4,5,34214,4629,131755,4138,20000,23946,400000000,30248,34214,5430,136856,4800,1933,80383,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
5,6,34252,4228,131589,4168,20000,20730,400000000,33934,34252,5370,137008,4970,1913,80463,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
6,7,34335,4127,131965,8145,20000,20049,400000000,30267,34335,9007,137340,4879,1904,83508,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
7,8,34156,4218,131689,4128,20000,23926,400000000,30428,34156,5350,136624,4989,1934,80323,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
8,9,34289,4148,131863,4128,20000,20730,400000000,33734,34289,5280,137156,4870,1914,80042,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
9,10,34165,8075,132079,4158,20000,20048,400000000,33674,34165,5260,136660,4810,1913,83037,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
10,11,34408,4128,132036,4158,20000,24166,400000000,29966,34408,5170,137632,4849,1934,79391,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
11,12,34144,4138,131798,4137,20000,20729,400000000,33313,34144,5220,136576,4849,2255,80092,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
12,13,34309,8135,131886,4157,20000,20058,400000000,33985,34309,5300,137236,4899,1923,83218,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
13,14,34229,4138,132052,4148,20000,24046,400000000,30017,34229,5249,136916,4879,1924,79561,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
14,15,34240,4328,131904,4147,20000,20779,400000000,33905,34240,5190,136960,5260,1954,80954,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
15,16,34235,4228,131641,4138,20000,20790,400000000,33384,34235,5250,136940,4869,42110,120309,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
16,17,34227,4659,132082,4148,20000,24446,400000000,30578,34227,5200,136908,4839,2003,80803,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
17,18,34259,4138,131874,4148,20000,20729,400000000,33454,34259,5340,137036,4939,1914,80683,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
18,19,34258,8126,132010,4158,20000,20058,400000000,30198,34258,8977,137032,4950,1914,83409,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
19,20,34282,4118,131909,4157,20000,24025,400000000,29977,34282,5220,137128,4859,1944,79120,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
20,21,34291,4138,131874,4138,20000,20740,400000000,34495,34291,5260,137164,4929,2235,81335,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
21,22,34373,4128,132005,4137,20000,20048,400000000,33664,34373,5230,137492,4900,1914,83068,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
22,23,34247,4138,131676,4148,20000,24026,400000000,29967,34247,5229,136988,4769,1924,79321,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
23,24,34365,4108,132004,4138,20000,20740,400000000,33293,34365,5260,137460,4909,2114,79521,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
24,25,34174,4248,131881,4148,20000,20058,400000000,33784,34174,5300,136696,4850,1923,79410,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
25,26,34350,4128,132223,4148,20000,24356,400000000,30337,34350,5280,137400,4889,1924,83709,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
26,27,34161,4188,132107,4147,20000,20719,400000000,33414,34161,5230,136644,5140,1894,79852,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
27,28,34294,4148,131837,4158,20000,20209,400000000,33564,34294,5220,137176,4789,1933,78950,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
28,29,34284,4228,131955,4138,20000,24096,400000000,30298,34284,5230,137136,4789,1933,83599,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
29,30,34214,4238,131897,4429,20000,20289,400000000,33533,34214,5260,136856,5340,1914,80292,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
30,31,34151,4168,131883,4178,20000,20720,400000000,33564,34151,5340,136604,4940,1934,79661,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
31,32,34318,4127,131893,4128,20000,24005,400000000,30437,34318,5360,137272,8486,1904,84230,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
32,33,34085,4579,131765,4128,20000,23916,400000000,29596,34085,5570,136340,4729,1913,79852,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
33,34,34258,4208,132009,4138,20000,20719,400000000,33925,34258,5200,137032,4719,1953,79641,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
34,35,34143,4278,131910,8166,20000,26380,400000000,33614,34143,5331,136572,4959,1943,89590,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
35,36,34178,4158,131853,4138,20000,24066,400000000,29957,34178,5381,136712,5039,1903,79321,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
36,37,34244,4148,131821,4138,20000,20690,400000000,33884,34244,5310,136976,5230,1894,80553,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
37,38,34131,4208,131885,4158,20000,20048,400000000,33774,34131,5360,136524,4950,1913,79721,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
38,39,34195,4178,131867,4138,20000,23965,400000000,30327,34195,5260,136780,4839,1904,83438,4096,4118,0.9946576007770762,1.00537109375,-0.00537109375,-18668.137178862464
