,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,29755,5070,112034,5421,21369,24751,363752961,23117,29755,6664,29755,6573,12936,94151,4096,2841,1.4417458641323477,0.693603515625,0.306396484375,273.33249184333425
1,2,32848,4028,126159,4128,20000,24720,391496944,23027,32848,5542,32848,5301,6142,77017,4096,3164,1.2945638432364097,0.7724609374999999,0.2275390625000001,387.3359161401558
2,3,32788,4078,125690,8448,20000,20000,400000000,22997,32788,5522,32788,5541,9900,78811,4096,3093,1.3242806336889752,0.755126953125,0.244873046875,356.03736869883767
3,4,32619,4118,124771,4129,20000,20010,391496944,27496,32619,5561,32619,5341,6654,74462,4096,3059,1.338999673095783,0.746826171875,0.253173828125,342.556293201623
4,5,32965,4018,126320,4078,20000,24811,391496944,22987,32965,5331,32965,5140,5431,73580,4096,3300,1.2412121212121212,0.8056640625,0.1943359375,462.773527337763
5,6,33144,4028,127285,4259,20000,24259,400000000,22947,33144,5401,33144,5201,4639,77067,4096,3671,1.115772269136475,0.896240234375,0.103759765625,912.8519985555562
6,7,32787,4068,125433,4099,20000,19980,400000000,23428,32787,9399,32787,8878,5982,76907,4096,3170,1.2921135646687698,0.7739257812499999,0.2260742187500001,390.1992867129864
7,8,32707,4098,125198,4079,20000,19970,391496944,27336,32707,11173,32707,10842,5652,84212,4096,3239,1.2645878357517752,0.790771484375,0.209228515625,425.99189995378407
8,9,33567,4439,128981,7996,20000,20001,400000000,22917,33567,14870,33567,11053,4880,87829,4096,3626,1.1296194153337011,0.8852539062499999,0.11474609375000011,820.4739399472917
9,10,33365,4078,127790,4078,20000,19971,400000000,27546,33365,10983,33365,10591,3427,82348,4096,3883,1.0548544939479785,0.9479980468749999,0.05200195312500011,1872.5596923451178
