,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,20987,5891,78380,5941,16900,25308,328370000,28965,20987,7113,83948,6903,17403,162790,4096,1342,3.052160953800298,0.32763671875,0.67236328125,89.61779227984395
1,2,24382,4909,91344,4859,21444,24737,366776336,28394,24382,6051,97528,5039,16672,98367,4096,2472,1.656957928802589,0.603515625,0.396484375,198.02633169584695
2,3,23871,4248,89948,4950,21764,24076,391795200,28334,23871,5220,95484,4679,14407,93117,4096,1588,2.579345088161209,0.3876953125,0.6123046875,105.53694016829557
3,4,23888,4228,89046,4318,22025,20790,394950000,34035,23888,4859,95552,4468,12434,90763,4096,1923,2.1300052002080085,0.46948242187499994,0.530517578125,132.25336625218253
4,5,20449,5530,77035,5671,17161,20770,333145837,32091,20449,6372,81796,6081,10170,95070,4096,1666,2.458583433373349,0.40673828125000006,0.59326171875,111.16232680734686
5,6,22223,4899,83844,4940,21444,20749,366776336,33694,22223,5571,88892,5320,11061,96684,4096,2049,1.9990239141044412,0.500244140625,0.499755859375,144.37118023725455
6,7,13225,7093,48354,7213,16225,20750,231002500,33834,13225,7925,52900,7785,6272,96564,4096,983,4.1668362156663274,0.239990234375,0.760009765625,70.06937340230733
7,8,22581,5000,83944,5060,21444,20729,366776336,33264,22581,5691,90324,5330,11272,89650,4096,2053,1.995129079396006,0.501220703125,0.498779296875,144.77882326432706
8,9,22464,4218,83900,4348,20000,20068,400000000,34065,22464,4809,89856,4268,11481,86153,4096,1892,2.1649048625792813,0.4619140625,0.5380859375,129.4705506085892
9,10,23009,4368,86022,8346,20000,20058,391496944,32842,23009,8506,92036,4448,10470,91764,4096,1714,2.3897316219369893,0.41845703125000006,0.58154296875,114.786700174619
10,11,23988,4719,90098,4318,21936,24046,393913600,29817,23988,4699,95952,4459,14407,89560,4096,1728,2.3703703703703702,0.421875,0.578125,115.86864989274024
11,12,22632,4879,84793,4889,21521,24567,367532400,29486,22632,5360,90528,5340,11131,88368,4096,2049,1.9990239141044412,0.500244140625,0.499755859375,144.37118023725455
12,13,22334,4248,83102,4318,22025,20730,394950000,33694,22334,4739,89336,4338,12113,89700,4096,1957,2.092999489013797,0.47778320312499994,0.522216796875,135.39161088075207
13,14,21717,4408,81733,4379,22025,20058,394950000,33985,21717,4799,86868,4409,10610,85362,4096,1725,2.3744927536231883,0.421142578125,0.578857421875,115.63583371024772
14,15,21855,8777,81590,4880,21521,20048,367532400,34676,21855,5300,87420,5119,10369,92075,4096,1717,2.3855562026790915,0.419189453125,0.580810546875,115.01758024216812
