,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,20987,5709,78380,10196,16900,20722,328370000,23117,20987,6550,20987,10256,11628,96661,4096,1348,3.0385756676557865,0.3291015625,0.6708984375,89.97750672802741
1,2,24382,4547,91344,4648,21444,24788,366776336,23036,24382,5279,24382,5068,12009,85994,4096,2478,1.6529459241323647,0.60498046875,0.39501953125,198.98157072185654
2,3,23871,4587,89948,4276,21764,19991,391795200,26762,23871,4837,23871,5048,9826,78443,4096,1586,2.5825977301387137,0.38720703125,0.61279296875,105.39676054531171
3,4,23888,4227,89046,4206,22025,20022,394950000,27322,23888,4737,23888,4517,11017,78472,4096,1921,2.1322228006246746,0.468994140625,0.531005859375,132.0716085373904
4,5,20449,5609,77035,9525,17161,20592,333145837,22946,20449,6110,20449,9435,9314,88008,4096,1675,2.4453731343283582,0.408935546875,0.591064453125,111.83208980321855
5,6,22223,4918,83844,4848,21444,19991,366776336,27283,22223,5488,22223,8754,10246,86465,4096,2054,1.994157740993184,0.50146484375,0.49853515625,144.88096934014385
6,7,13225,7111,48354,10857,16225,20572,231002500,22946,13225,13892,13225,10236,5178,92926,4096,991,4.133198789101917,0.241943359375,0.758056640625,70.46959935603122
7,8,22581,4967,83944,5008,21444,20002,366776336,27442,22581,10306,22581,10186,10536,90451,4096,2058,1.9902818270165208,0.50244140625,0.49755859375,145.29049920396048
8,9,22464,4307,83900,4667,20000,19991,400000000,22926,22464,14042,22464,10276,10918,87947,4096,1890,2.1671957671957673,0.46142578124999994,0.53857421875,129.29350457170457
9,10,23009,4196,86022,4237,20000,23817,391496944,23427,23009,10436,23009,10156,9615,86596,4096,1712,2.392523364485981,0.41796875000000006,0.58203125,114.6330708293053
10,11,23988,4627,90098,4197,21936,19981,393913600,22926,23988,14413,23988,10366,9505,86925,4096,1726,2.373117033603708,0.42138671875,0.57861328125,115.71338000722295
11,12,22632,4918,84793,4787,21521,24078,367532400,23166,22632,10206,22632,9946,14312,92234,4096,2053,1.995129079396006,0.501220703125,0.498779296875,144.77882326432706
12,13,22334,4137,83102,4286,22025,19971,394950000,26802,22334,10446,22334,10256,11438,89389,4096,1955,2.0951406649616366,0.47729492187500006,0.522705078125,135.20443758629506
