,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,29787,4968,112350,9155,21369,20053,363752961,23538,29787,6641,29787,9505,158548,243806,4096,3055,1.3407528641571196,0.7458496093749999,0.2541503906250001,29.323129511364808
1,2,34192,4067,132023,4056,20000,20634,400000000,26573,34192,5329,34192,5128,17339,85629,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
2,3,34172,4097,131040,4067,20000,23838,400000000,22998,34172,5759,34172,5089,38282,106022,4096,4010,1.0214463840399002,0.9790039062500001,0.02099609374999989,2.1219646418728777
3,4,33996,4256,130821,4547,20000,19972,400000000,26894,33996,5229,33996,5128,44512,112543,4096,3975,1.030440251572327,0.970458984375,0.029541015625,2.9986139630911386
4,5,34265,4096,131632,4057,20000,20714,400000000,26483,34265,5108,34265,4898,37681,104880,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
5,6,34243,4156,131923,4077,20000,20644,400000000,26503,34243,5218,34243,5099,9064,76675,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
6,7,34170,4547,132079,4057,20000,23548,400000000,22977,34170,5129,34170,5489,8934,76394,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
7,8,23639,5699,88029,9165,17161,19963,333145837,23458,23639,7382,23639,9836,41277,119324,4096,1880,2.178723404255319,0.458984375,0.541015625,77.87391108953489
8,9,18070,10637,62789,6661,19375,19982,326562500,23468,18070,10697,18070,7342,33715,115427,4096,1131,3.62157382847038,0.276123046875,0.723876953125,128.6908690603223
9,10,9795,11859,31421,8243,7119,19972,139431600,23418,9795,12440,9795,8714,24630,112142,4096,459,8.923747276688454,0.11206054687499999,0.887939453125,218.87159566587985
10,11,24922,4357,93357,4517,21936,23548,393913600,23418,24922,6350,24922,5729,46836,118643,4096,1751,2.33923472301542,0.427490234375,0.572509765625,84.98238344334919
11,12,21544,6080,79050,10256,20416,19973,343322368,23438,21544,8093,21544,10608,37200,118953,4096,1639,2.49908480780964,0.400146484375,0.599853515625,91.5924587975514
12,13,17688,6701,68537,10577,18800,19962,276000000,23448,17688,8234,17688,11128,40746,121788,4096,1720,2.3813953488372093,0.419921875,0.580078125,86.7686596911845
13,14,18890,10176,73146,6350,18400,19972,268000000,23408,18890,11328,18890,7813,39374,119494,4096,1875,2.1845333333333334,0.457763671875,0.542236328125,78.14022283148326
14,15,34416,7872,132156,4086,20000,19963,400000000,23498,34416,5479,34416,49270,9766,122389,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
15,16,33655,4637,129343,4117,20000,24089,400000000,22977,33655,5339,33655,5649,43872,112903,4096,3873,1.0575781048282984,0.9455566406250001,0.05444335937499989,5.598148720459144
16,17,34406,4026,132174,4598,20000,19972,400000000,26694,34406,5208,34406,5098,9275,76735,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
17,18,34334,4086,131991,4067,20000,23889,400000000,23448,34334,5248,34334,5198,12841,80421,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
18,19,32813,4017,125905,4087,22025,20543,394950000,26483,32813,5609,32813,5329,34917,102787,4096,3833,1.0686146621445343,0.935791015625,0.064208984375,6.636310133878859
19,20,14049,11468,52152,7493,15796,20613,222662400,26373,14049,8594,14049,8093,31912,115628,4096,1123,3.647373107747106,0.274169921875,0.725830078125,129.40072119809005
20,21,22074,9445,81971,5769,16900,19962,328370000,23469,22074,10707,22074,6771,42870,120595,4096,1689,2.4251036116044995,0.41235351562500006,0.587646484375,88.58742499115435
21,22,26805,4628,101649,4818,21600,19962,370400000,23498,26805,10067,26805,6040,53627,125313,4096,2501,1.6377449020391843,0.610595703125,0.389404296875,49.33202358417247
22,23,11354,7973,38159,7923,7119,20603,139431600,26553,11354,9005,11354,8534,38272,122650,4096,1040,3.9384615384615387,0.25390625,0.74609375,137.07901745839254
23,24,30134,5138,113815,5068,17200,20584,344000000,26483,30134,6110,30134,6020,37461,110580,4096,3117,1.314084055181264,0.760986328125,0.239013671875,27.313988695200663
24,25,34180,4056,131750,4066,20000,20574,400000000,26473,34180,5228,34180,5149,28626,95935,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
25,26,34233,4087,131871,4076,20000,23769,400000000,23438,34233,5319,34233,5188,12701,80511,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
26,27,34281,4086,131747,4066,20000,20544,400000000,26593,34281,5198,34281,5029,9445,76625,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
27,28,34210,4487,131608,4086,20000,23669,400000000,22967,34210,5269,34210,5489,9014,76564,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
28,29,34248,4067,131741,7833,20000,19962,400000000,23428,34248,5269,34248,4978,12390,79509,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
29,30,34376,4156,131859,4067,20000,20533,400000000,26544,34376,5278,34376,5069,9235,76484,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
30,31,34139,4106,131490,4077,20000,23668,400000000,22968,34139,5599,34139,5078,8985,76294,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
31,32,34259,7883,131823,4067,20000,19962,400000000,23408,34259,5169,34259,8364,9084,79669,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
32,33,34326,4127,131532,4077,20000,20573,400000000,27014,34326,5299,34326,5078,28486,103828,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
33,34,34338,7562,131620,4077,20000,20553,400000000,26373,34338,5289,34338,5118,9125,79740,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
34,35,34162,4056,131427,4488,20000,19962,400000000,26974,34162,5188,34162,5008,9335,76805,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
35,36,30561,4678,116825,4738,21600,23828,370400000,23438,30561,6019,30561,5860,45073,114826,4096,3231,1.2677189724543485,0.788818359375,0.211181640625,23.721920089484545
36,37,34365,4086,132165,4097,20000,23809,400000000,23428,34365,5238,34365,5068,12590,80080,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
37,38,34261,4017,132267,4086,20000,20544,400000000,26663,34261,5149,34261,4988,8864,75783,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
38,39,28644,4778,108364,5219,21444,19962,366776336,26593,28644,6401,28644,6250,43020,113524,4096,2738,1.495982468955442,0.66845703125,0.33154296875,40.27831608709495
39,40,33814,4127,129882,4077,20000,20563,400000000,26573,33814,5338,33814,5169,36279,103919,4096,3946,1.0380131779016726,0.96337890625,0.03662109375,3.7308480136783055
40,41,34132,4076,131325,4097,20000,20533,400000000,26563,34132,5258,34132,5179,39434,107094,4096,4020,1.0189054726368159,0.9814453125000001,0.01855468749999989,1.8728985106276907
41,42,34082,4106,131359,4056,20000,19973,400000000,23448,34082,8654,34082,5038,33174,100543,4096,3974,1.030699547055863,0.97021484375,0.02978515625,3.023774360758153
42,43,34296,4076,131687,4057,20000,23739,400000000,23418,34296,5148,34296,5088,30841,98009,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
43,44,34362,4257,131955,4548,20000,19972,400000000,26513,34362,5369,34362,5269,9015,76915,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
44,45,34394,4096,132196,4067,20000,23819,400000000,23488,34394,5349,34394,5188,12350,79860,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
45,46,30010,4247,113858,4257,21849,20624,392862800,26533,30010,5829,30010,5479,42990,111411,4096,3049,1.3433912758281403,0.744384765625,0.255615234375,29.519721973108894
46,47,29878,4968,112407,5028,21444,20564,366776336,26533,29878,6150,29878,6070,36830,107444,4096,3079,1.3303020461188697,0.751708984375,0.248291015625,28.540601879484328
47,48,33897,4086,130749,4096,20000,19973,400000000,23448,33897,8724,33897,5239,33835,101725,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
48,49,34280,4037,131706,4097,20000,23868,400000000,23469,34280,5238,34280,4998,19382,86781,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
49,50,33896,4086,129469,4087,20000,20644,400000000,26653,33896,5189,33896,4958,40646,107976,4096,3909,1.0478383218214378,0.954345703125,0.045654296875,4.672930092638896
50,51,34245,4097,132299,4086,20000,20564,400000000,26443,34245,5208,34245,5099,9024,76303,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
51,52,34374,4097,132001,4537,20000,19963,400000000,26613,34374,5209,34374,5128,32443,99461,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
52,53,33508,4127,128927,4097,20000,20553,400000000,26503,33508,5459,33508,5229,32122,99702,4096,3984,1.0281124497991967,0.9726562500000001,0.02734374999999989,2.772454801485477
