,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,11372,7994,38127,8196,7119,20758,139431600,26800,11372,9066,11372,8776,200470,295225,4096,967,4.235780765253361,0.23608398437499997,0.763916015625,144.35676712660495
1,2,14675,7343,54362,7373,17200,20047,246017872,46216,14675,8967,14675,8566,40154,147723,4096,1197,3.4218880534670006,0.292236328125,0.707763671875,123.01924611613705
2,3,9570,8316,30789,12703,5600,20027,111997599,23524,9570,9407,9570,12012,27160,120303,4096,667,6.140929535232384,0.162841796875,0.837158203125,181.497612080372
3,4,10978,8055,36364,12012,7119,19997,139431600,23524,10978,12423,10978,8576,57747,144256,4096,984,4.162601626016261,0.24023437499999997,0.759765625,142.61402696670905
4,5,9147,8265,25534,8476,4975,20638,81401875,26730,9147,9147,9147,8856,52407,135871,4096,686,5.970845481049563,0.16748046875,0.83251953125,178.68885389934584
5,6,18726,5601,71932,6081,21600,23624,370400000,22992,18726,6382,18726,6422,119491,197485,4096,1452,2.8209366391184574,0.3544921875,0.6455078125,103.70689713346025
6,7,7936,12443,20814,7984,4975,19987,81401875,23925,7936,13334,7936,8225,71101,162580,4096,317,12.921135646687697,0.077392578125,0.922607421875,255.88643928420632
7,8,20500,8766,74566,4629,20000,30065,391496944,24826,20500,5641,20500,5360,127506,213634,4096,608,6.7368421052631575,0.1484375,0.8515625,190.75912847531765
8,9,24233,4358,92867,4458,20000,20648,391496944,26830,24233,6292,24233,5791,201402,276612,4096,2371,1.727541121889498,0.578857421875,0.421142578125,54.66990806539383
9,10,26265,9287,99545,4368,21849,19966,392862800,23464,26265,9437,26265,5730,165165,244532,4096,2751,1.4889131225009087,0.671630859375,0.328369140625,39.80464057947691
10,11,9315,8796,25854,8666,6336,20639,124553216,26629,9315,9848,9315,9288,38160,123328,4096,615,6.660162601626016,0.150146484375,0.849853515625,189.6143898912826
11,12,21065,6132,75775,6211,19024,20619,320827904,27170,21065,7854,21065,7143,102269,180593,4096,1984,2.064516129032258,0.484375,0.515625,72.48958788745256
12,13,11580,7904,38976,8005,7119,20658,139431600,26589,11580,9036,11580,8516,55363,142523,4096,1080,3.7925925925925927,0.263671875,0.736328125,133.30498466010783
13,14,15695,6633,59295,6782,19375,24285,326562500,23444,15695,7463,15695,7053,56735,133346,4096,1077,3.8031569173630455,0.262939453125,0.737060546875,133.5831489562955
14,15,11114,11592,36880,7564,15796,19967,222662400,23473,11114,11943,11114,7884,33492,120983,4096,419,9.77565632458234,0.102294921875,0.897705078125,227.9895246797206
15,16,24904,4409,94102,4528,21849,20578,392862800,26389,24904,6462,24904,5781,85448,154486,4096,1917,2.1366718831507563,0.468017578125,0.531982421875,75.92494236736992
16,17,21414,6392,78962,10299,20416,19976,343322368,23444,21414,8035,21414,10940,62997,147141,4096,1689,2.4251036116044995,0.41235351562500006,0.587646484375,88.58742499115435
17,18,15895,6883,59248,6983,17200,20628,246017872,26860,15895,8345,15895,7844,57516,138586,4096,1536,2.6666666666666665,0.375,0.625,98.08292530117262
18,19,15425,6993,57243,6983,16000,24005,220000000,22952,15425,8386,15425,7985,52867,131102,4096,1624,2.522167487684729,0.396484375,0.603515625,92.51186459977204
19,20,17092,5871,65519,10149,15369,19977,213289761,23513,17092,7243,17092,10159,77784,160346,4096,2104,1.946768060836502,0.513671875,0.486328125,66.61705928617432
20,21,13473,6613,50125,6552,14944,24295,236680192,22952,13473,7665,13473,7063,78425,154575,4096,1655,2.4749244712990937,0.404052734375,0.595947265625,90.62098789081804
21,22,31580,4638,120712,4638,21681,20618,373291600,26479,31580,5631,31580,5440,48580,118960,4096,3722,1.1004836109618485,0.9086914062499999,0.09130859375000011,9.574972951714772
22,23,34241,4057,132447,4087,20000,20648,400000000,26409,34241,5290,34241,5100,15408,82843,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-0.21948551671848487
23,24,19854,6431,76602,6442,18800,23663,276000000,22923,19854,8005,19854,7303,41447,135811,4096,1883,2.1752522570366435,0.45971679687500006,0.540283203125,77.71446380621913
24,25,9939,8525,32426,8024,4800,153484,96000000,26870,9939,9057,9939,8736,48590,267354,4096,788,5.197969543147208,0.19238281250000003,0.8076171875,164.82680768614645
25,26,14364,30196,53292,18234,16600,87422,232000000,78445,14364,22852,14364,30537,357631,643430,4096,1384,2.959537572254335,0.337890625,0.662109375,108.50330305417289
26,27,14341,27080,53368,16601,16600,69649,232000000,85328,14341,21270,14341,20748,186985,442658,4096,1415,2.8946996466431094,0.345458984375,0.654541015625,106.28813566420057
27,28,14274,16300,53020,26008,16600,59129,232000000,66183,14274,20388,14274,19967,154005,372328,4096,1386,2.9552669552669553,0.33837890625,0.66162109375,108.35889869694952
28,29,14312,24865,53187,16530,16600,58838,232000000,66233,14312,20478,14312,26650,146531,362069,4096,1403,2.919458303635068,0.342529296875,0.657470703125,107.13980866168828
29,30,14182,16301,52480,16420,16600,59150,232000000,66032,14182,28192,14182,19305,143816,352401,4096,1405,2.915302491103203,0.343017578125,0.656982421875,106.99735849514977
30,31,14279,16260,53084,16350,16600,59530,232000000,67114,14279,27601,14279,18795,146530,354435,4096,1396,2.9340974212034383,0.3408203125,0.6591796875,107.63998833970258
31,32,14358,16210,53291,16360,16600,59530,232000000,66984,14358,28032,14358,19245,136553,344997,4096,1375,2.9789090909090907,0.335693359375,0.664306640625,109.15571566186719
32,33,14231,16270,53095,16280,16600,59420,232000000,66513,14231,27822,14231,19426,255442,464919,4096,1401,2.9236259814418273,0.342041015625,0.657958984375,107.28246203823366
33,34,14393,16320,53344,16601,16600,59119,232000000,67204,14393,20147,14393,19666,153604,362680,4096,1398,2.9298998569384835,0.34130859375,0.65869140625,107.4968243925588
34,35,14295,16320,53260,24746,16600,58769,232000000,66102,14295,20478,14295,19616,146621,354736,4096,1423,2.8784258608573436,0.347412109375,0.652587890625,105.72435686294914
35,36,14275,16170,53101,24515,16600,58869,232000000,66102,14275,19636,14275,18695,144858,357511,4096,1427,2.8703573931324455,0.348388671875,0.651611328125,105.44365492425072
36,37,14445,16321,53344,24595,16600,58808,232000000,66022,14445,19656,14445,19346,140480,347643,4096,1446,2.8326417704011067,0.35302734375,0.64697265625,104.12097640006337
37,38,19952,14918,71074,15939,19024,59400,320827904,73797,19952,18835,19952,17553,153684,357510,4096,1871,2.189203634420096,0.45678710937500006,0.543212890625,78.3537840445254
38,39,19968,10059,73408,10309,20000,59801,400000000,67174,19968,18524,19968,9969,138476,318318,4096,1945,2.105912596401028,0.47485351562500006,0.525146484375,74.47489106667969
39,40,19856,18624,72954,10169,20000,59179,400000000,66443,19856,10249,19856,9667,130831,307358,4096,1832,2.2358078602620086,0.447265625,0.552734375,80.46026214852681
40,41,19925,10009,72896,10089,20000,59740,400000000,66432,19925,10199,19925,18644,130521,309422,4096,1816,2.2555066079295156,0.44335937499999994,0.556640625,81.33746075581053
41,42,20508,10029,73375,10660,20000,59650,400000000,74959,20508,10089,20508,9798,128557,305975,4096,1848,2.2164502164502164,0.451171875,0.548828125,79.59069145177142
42,43,19720,10129,72650,17182,20000,55202,400000000,62105,19720,9227,19720,8846,125572,293222,4096,1873,2.186865990389749,0.457275390625,0.542724609375,78.24694642752551
43,44,19995,20277,72794,10599,20000,64559,400000000,62646,19995,10229,19995,9328,123738,304022,4096,1857,2.2057081313947227,0.453369140625,0.546630859375,79.1048605366638
44,45,20154,9157,72548,9378,20000,239302,400000000,63097,20154,9648,20154,8887,145499,489866,4096,1829,2.2394751230180425,0.446533203125,0.553466796875,80.6241518328478
45,46,20159,9127,72853,9317,20000,56244,400000000,62536,20159,17242,20159,8636,135090,301237,4096,1851,2.212857914640735,0.451904296875,0.548095703125,79.42848541458463
