,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH2_ENTROPY,KH2_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,30192,5116,113524,5126,17000,24959,340000000,23126,30192,6617,30192,6448,151926,234572,4096,3133,1.3073731248005107,0.764892578125,0.235107421875,373.10665753340305
1,2,34316,4285,131754,4055,20000,25049,400000000,26050,34316,5306,34316,5186,34350,106604,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
2,3,34055,4115,131661,4115,20000,24388,400000000,23507,34055,5236,34055,5105,33670,101838,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
3,4,34166,4145,131588,4085,20000,19973,400000000,27442,34166,5336,34166,5196,27762,95681,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
4,5,34214,4015,131755,4455,20000,20043,400000000,22937,34214,8780,34214,5086,9451,76740,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
5,6,34252,4095,131589,4155,20000,19963,400000000,27502,34252,5647,34252,6647,33449,103410,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
6,7,34335,4465,131965,4075,20000,19973,400000000,26761,34335,5206,34335,5487,9000,76468,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
7,8,34156,4084,131689,4075,20000,24789,400000000,23427,34156,5286,34156,14867,33108,111300,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
8,9,34289,4105,131863,4065,20000,19973,400000000,27452,34289,5226,34289,5036,9351,76839,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
9,10,34165,4535,132079,4065,20000,25430,400000000,22956,34165,5156,34165,5096,13085,82125,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
10,11,34408,4445,132036,4055,20000,19973,400000000,26731,34408,5267,34408,5576,9171,76679,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
11,12,34144,4095,131798,4065,20000,19953,400000000,29995,34144,5516,34144,5437,9340,80263,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
12,13,34309,4105,131886,9121,20000,20864,400000000,23347,34309,5567,34309,9290,29714,103850,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
13,14,34229,4986,132052,4054,20000,25310,400000000,22926,34229,5196,34229,5115,9360,82595,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
14,15,34240,4395,131904,4275,20000,21856,400000000,27812,34240,5216,34240,5677,9170,80033,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
15,16,34235,4155,131641,4065,20000,25930,400000000,23447,34235,5226,34235,5026,35351,105132,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
16,17,34227,4395,132082,4155,20000,20504,400000000,30145,34227,5226,34227,5807,44922,117056,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
17,18,34259,4115,131874,4075,20000,19983,400000000,27482,34259,5246,34259,5126,9131,76829,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
18,19,34258,4085,132010,4095,20000,24708,400000000,22937,34258,5196,34258,5006,8940,76569,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
19,20,34282,4094,131909,4566,20000,19963,400000000,22906,34282,8519,34282,5045,9151,75808,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
20,21,34291,4095,131874,4095,20000,19973,400000000,27012,34291,5206,34291,5106,8800,75858,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
21,22,34373,4095,132005,4055,20000,24208,400000000,22906,34373,5216,34373,5046,8810,75818,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
22,23,34247,4155,131676,4546,20000,19983,400000000,22906,34247,8510,34247,5036,9021,75788,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
23,24,34365,4095,132004,4095,20000,19953,400000000,26991,34365,5266,34365,5136,8710,75808,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
24,25,34174,4115,131881,4054,20000,24248,400000000,22907,34174,5106,34174,5056,32117,99044,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
25,26,34350,4164,132223,4064,20000,19983,400000000,26902,34350,5226,34350,5086,8840,75658,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
26,27,34161,4045,132107,4055,20000,24248,400000000,22907,34161,5126,34161,5026,8740,75718,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
27,28,34294,4025,131837,4505,20000,19964,400000000,22916,34294,8590,34294,5116,9091,75838,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
28,29,34284,4275,131955,4085,20000,19963,400000000,80363,34284,6358,34284,5396,11323,134185,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
29,30,34214,4144,131897,4085,20000,20003,400000000,28934,34214,5166,34214,5036,39115,109487,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
30,31,34151,4976,131883,4946,20000,19983,400000000,27953,34151,5316,34151,5096,14086,84098,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
31,32,34318,4145,131893,4044,20000,24779,400000000,22927,34318,5236,34318,5056,17220,84959,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
32,33,34085,4024,131765,4085,20000,19983,400000000,26792,34085,5606,34085,5096,12765,79862,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
33,34,34258,4095,132009,4055,20000,24128,400000000,23397,34258,5126,34258,4966,35701,103080,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
34,35,34143,4115,131910,4104,20000,19964,400000000,27361,34143,5247,34143,5096,11723,79101,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
35,36,34178,4094,131853,4075,20000,24839,400000000,22907,34178,5316,34178,5146,37253,105383,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
36,37,34244,4085,131821,4055,20000,24588,400000000,23397,34244,5287,34244,5126,11363,79422,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
37,38,34131,8220,131885,4065,20000,20563,400000000,22906,34131,5196,34131,8570,31447,102579,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
38,39,34195,4035,131867,4075,20000,24698,400000000,22907,34195,5116,34195,5006,10602,81875,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
39,40,34303,3995,131915,4505,20000,19973,400000000,22907,34303,8990,34303,5246,9551,76509,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
40,41,34235,4255,131846,4075,20000,19953,400000000,29884,34235,5236,34235,5086,33659,103810,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
41,42,34238,4255,131800,4064,20000,19984,400000000,26781,34238,5556,34238,5086,10623,78001,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
42,43,34344,4095,131915,4064,20000,25400,400000000,30265,34344,5186,34344,5046,10662,90375,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
43,44,34280,4475,131987,4114,20000,19964,400000000,26660,34280,5156,34280,5356,9951,77290,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
44,45,34261,4515,132041,4064,20000,19973,400000000,27943,34261,5216,34261,5066,10192,78691,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
45,46,34318,4074,132058,8360,20000,20614,400000000,22917,34318,5326,34318,5126,13516,81675,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
46,47,34262,4104,131884,4065,20000,19973,400000000,27562,34262,5707,34262,5937,9902,78982,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
47,48,34186,4095,131826,4074,20000,25290,400000000,22926,34186,5226,34186,5075,9351,77570,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
48,49,34205,3994,131999,4525,20000,19963,400000000,22906,34205,9131,34205,5186,32368,100136,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
49,50,34377,4084,131995,4085,20000,25400,400000000,22926,34377,5116,34377,4986,13015,81284,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
50,51,34242,4065,131879,4065,20000,22876,400000000,27172,34242,5796,34242,5045,28524,99956,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
51,52,34170,8510,131858,5396,20000,21495,400000000,23377,34170,9771,34170,5556,9511,85520,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
52,53,34319,4235,132151,5026,20000,20274,400000000,28152,34319,6968,34319,5046,10181,81595,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
53,54,34067,4095,131735,21244,20000,69500,400000000,33759,34067,12455,34067,6538,40016,190461,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
54,55,34238,4826,132003,5406,20000,26180,400000000,37043,34238,6968,34238,6818,46704,136768,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
55,56,34223,5016,132025,5607,20000,37473,400000000,33029,34223,13195,34223,6658,12665,116085,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
56,57,34194,5226,131843,5556,20000,36803,400000000,32678,34194,13276,34194,6637,51180,153969,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
57,58,34181,4896,131777,5777,20000,31236,400000000,37844,34181,7139,34181,6858,21364,117417,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
58,59,34142,5406,131902,5506,20000,37854,400000000,31867,34142,7289,34142,7128,21004,118668,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
59,60,34142,5216,131934,5657,20000,37864,400000000,31646,34142,6908,34142,6978,19833,116285,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
60,61,34401,5116,131947,5667,20000,37584,400000000,32167,34401,6568,34401,6517,19343,115234,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
61,62,34254,4115,131930,4095,20000,19993,400000000,27892,34254,5246,34254,5116,12845,80824,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
62,63,34166,4135,131803,4054,20000,24829,400000000,22907,34166,5196,34166,5146,15318,83146,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
63,64,34244,4135,131807,4054,20000,19974,400000000,26871,34244,5807,34244,5126,11643,79131,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
64,65,34270,4084,131894,4055,20000,24008,400000000,23417,34270,5186,34270,4966,10643,77861,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
