,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,29755,5341,112034,5331,21369,27264,363752961,31161,29755,6753,119020,6493,207129,353959,4096,2703,1.515353311135775,0.659912109375,0.340087890625,240.58783087850642
1,2,32848,4148,126159,8356,20000,20100,391496944,30070,32848,5751,131392,9098,80960,167922,4096,3005,1.3630615640599002,0.733642578125,0.266357421875,322.85838695269547
2,3,32788,8126,125690,4198,20000,20090,400000000,28897,32788,9368,131152,5321,77533,156869,4096,2989,1.3703579792572766,0.729736328125,0.270263671875,317.38776721592666
3,4,32619,4138,124771,8167,20000,20089,391496944,30840,32619,9248,130476,5321,89417,170667,4096,2876,1.4242002781641168,0.7021484375,0.2978515625,282.79707401175637
4,5,32965,4158,126320,4158,20000,20079,391496944,32644,32965,5441,131860,5151,77603,160597,4096,3211,1.2756150731859235,0.7839355468749999,0.2160644531250001,410.7982887937077
5,6,33144,4138,127285,4179,20000,20070,400000000,33496,33144,5471,132576,5010,72834,150728,4096,3280,1.248780487804878,0.80078125,0.19921875,450.11091001305135
6,7,32787,8197,125433,4248,20000,20070,400000000,34869,32787,5471,131148,5140,77222,158523,4096,3086,1.3272845106934543,0.75341796875,0.24658203125,353.18824145634466
7,8,32707,8196,125198,4179,20000,20060,391496944,30370,32707,9168,130828,5050,77763,157952,4096,3035,1.3495881383855024,0.740966796875,0.259033203125,333.55630101546024
8,9,33567,4178,128981,8096,20000,20050,400000000,30521,33567,9228,134268,4980,67153,149835,4096,3510,1.1669515669515669,0.85693359375,0.14306640625,647.6899963435852
9,10,33365,4289,127790,4138,20000,24008,400000000,28787,33365,5371,133460,4930,76130,152842,4096,3309,1.2378362042913267,0.807861328125,0.192138671875,468.6807404156433
10,11,33582,4198,129206,4248,20000,24448,391496944,30069,33582,5390,134328,5420,71511,150908,4096,3511,1.1666191968100257,0.857177734375,0.142822265625,648.8871983089518
11,12,34285,4148,131644,4158,20000,20731,400000000,34157,34285,5321,137140,4830,10551,88735,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
12,13,34455,4198,131680,4178,20000,20771,400000000,33717,34455,5250,137820,4889,35500,114025,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
13,14,34144,4599,131699,4168,20000,23997,400000000,30741,34144,5371,136576,4940,35661,114646,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
14,15,34428,4158,131778,8096,20000,20060,400000000,29979,34428,5300,137712,8708,32153,113895,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
15,16,34291,4148,131879,4158,20000,20751,400000000,33386,34291,5321,137164,4940,31843,113765,4096,4105,0.9978075517661389,1.002197265625,-0.002197265625,-45561.09282065357
16,17,33770,4138,130121,4158,20000,20751,400000000,33356,33770,5320,135080,4980,43516,121740,4096,3647,1.1231148889498217,0.8903808593750001,0.10961914062499989,861.2821107239477
17,18,33870,4138,130040,4178,20000,24298,400000000,30119,33870,5231,135480,8487,36252,117852,4096,3651,1.1218844152287044,0.891357421875,0.108642578125,869.4912345467606
18,19,33535,4158,128411,4159,20000,20059,400000000,33887,33535,5200,134140,4900,68696,146369,4096,3370,1.2154302670623145,0.82275390625,0.17724609375,512.5625404279058
19,20,33609,4148,128629,8206,20000,20050,400000000,30490,33609,9087,134436,4869,67723,150427,4096,3451,1.186902347145755,0.8425292968749999,0.1574707031250001,583.6115675465265
20,21,33688,4158,128891,4158,20000,24047,400000000,29980,33688,5340,134752,4879,49357,127792,4096,3497,1.1712896768658851,0.8537597656249999,0.1462402343750001,632.4893472513663
21,22,33039,4158,126820,4209,20000,20761,400000000,33727,33039,5280,132156,4769,73295,149415,4096,3176,1.2896725440806045,0.775390625,0.224609375,393.09977135392705
22,23,32823,4139,126409,4158,20000,20050,400000000,34087,32823,5400,131292,4970,77132,153563,4096,3109,1.3174654229655838,0.759033203125,0.240966796875,362.70025845731726
