,ID,SW_ENTROPY,SW_TIME,SW4_ENTROPY,SW4_TIME,B2_ENTROPY,B2_TIME,B4_ENTROPY,B4_TIME,KH_ENTROPY,KH_TIME,KH4_ENTROPY,KH4_TIME,COMPRESSION_TIME,HANDLING_TIME,SIZE,COMPRESSED_SIZE,COMPRESSION_RATIO,COMPRESSION_FACTOR,SPACE_SAVINGS,COMPRESSION_GAIN
0,1,20987,5823,78380,5743,16900,20186,328370000,34538,20987,6686,83948,6344,197546,348737,4096,1018,4.023575638506876,0.24853515625000003,0.75146484375,71.83025805235299
1,2,24382,4651,91344,4721,21444,24125,366776336,30148,24382,5483,97528,5021,156443,236594,4096,1868,2.1927194860813706,0.4560546875,0.5439453125,127.36540678323396
2,3,23871,4290,89948,8610,21764,20767,391795200,30158,23871,8539,95484,4440,143695,229909,4096,1205,3.3991701244813277,0.294189453125,0.705810546875,81.73064170932524
3,4,23888,4250,89046,4330,22025,20737,394950000,33305,23888,4911,95552,4500,161414,250716,4096,1482,2.7638326585695006,0.36181640625,0.63818359375,98.36532945861816
4,5,20449,5543,77035,5693,17161,20086,333145837,33877,20449,6344,81796,6093,123268,206697,4096,1265,3.2379446640316205,0.308837890625,0.691162109375,85.1108184795756
5,6,22223,5082,83844,4931,21444,20065,366776336,34197,22223,5582,88892,5262,142281,224156,4096,1555,2.6340836012861737,0.379638671875,0.620361328125,103.24868453696003
6,7,13225,7106,48354,7206,16225,20075,231002500,34177,13225,7887,52900,7777,59023,151853,4096,756,5.417989417989418,0.1845703125,0.8154296875,59.181235050740625
7,8,22581,5201,83944,5091,21444,20066,366776336,34728,22581,5783,90324,5372,149457,228876,4096,1536,2.6666666666666665,0.375,0.625,101.95454478232662
8,9,22464,4290,83900,4410,20000,20066,400000000,33836,22464,4710,89856,4369,181680,263585,4096,1395,2.936200716845878,0.340576171875,0.659423828125,92.84047041937112
9,10,23009,4290,86022,4610,20000,20205,391496944,35971,23009,5232,92036,4480,144887,222502,4096,1320,3.103030303030303,0.322265625,0.677734375,88.3096442560089
10,11,23988,4339,90098,4670,21936,20065,393913600,35340,23988,5192,95952,4410,142040,218945,4096,1288,3.1801242236024843,0.314453125,0.685546875,86.43638066744732
11,12,22632,4881,84793,5171,21521,20065,367532400,33235,22632,5652,90528,5091,146160,223435,4096,1561,2.623959000640615,0.381103515625,0.618896484375,103.66086146167079
12,13,22334,4269,83102,8980,22025,20747,394950000,30138,22334,4720,89336,8810,187353,268025,4096,1439,2.846421125781793,0.351318359375,0.648681640625,95.59658609301641
13,14,21717,4260,81733,4360,22025,24135,394950000,30038,21717,4801,86868,4420,163519,240864,4096,1264,3.240506329113924,0.30859375,0.69140625,85.05357071843892
14,15,21855,4791,81590,9060,21521,20717,367532400,30108,21855,9141,87420,5122,154579,236193,4096,1310,3.1267175572519084,0.31982421875,0.68017578125,87.72054860783899
15,16,22692,4911,82776,4781,21521,20066,367532400,33917,22692,5262,90768,4901,160874,237696,4096,1365,3.0007326007326007,0.333251953125,0.666748046875,91.0036967720766
16,17,18981,5953,71255,6274,20071,24836,337587923,30108,18981,6936,75924,10434,99675,187092,4096,1076,3.806691449814126,0.2626953125,0.7373046875,74.80772025800417
17,18,20198,5763,76231,5894,17161,20055,333145837,53500,20198,6364,80792,5934,131768,246136,4096,1220,3.357377049180328,0.2978515625,0.7021484375,82.56547244481192
18,19,23576,5403,87156,4370,22025,25959,394950000,30238,23576,4891,94304,4480,140909,219515,4096,1239,3.3058918482647295,0.302490234375,0.697509765625,83.6325787084545
19,20,21964,4249,81124,4389,20000,24234,400000000,30198,21964,4661,87856,4450,82316,164993,4096,666,6.15015015015015,0.16259765625,0.83740234375,55.05163441990844
20,21,20410,5001,78124,5061,21600,24165,370400000,30018,20410,5503,81640,5412,80472,164281,4096,854,4.796252927400468,0.20849609375,0.79150390625,63.78222308248982
21,22,22130,4901,83599,5031,21369,24485,363752961,29867,22130,5632,88520,5332,171918,250335,4096,1584,2.585858585858586,0.38671874999999994,0.61328125,105.2567766367323
22,23,23407,4620,87028,4220,20000,20126,391496944,33405,23407,5191,93628,4329,180257,255848,4096,1833,2.2345881069285323,0.44750976562500006,0.552490234375,124.36930477426719
23,24,22889,4250,85534,4310,20000,24766,391496944,29527,22889,4661,91556,4470,179254,264076,4096,1705,2.4023460410557185,0.416259765625,0.583740234375,114.09718960834584
24,25,21852,4289,81341,4430,20000,20075,391496944,34268,21852,4711,87408,4360,164452,239551,4096,1395,2.936200716845878,0.340576171875,0.659423828125,92.84047041937112
25,26,23975,4219,89672,4370,22025,24385,394950000,28604,23975,4771,95900,4430,171287,252079,4096,1753,2.33656588705077,0.42797851562500006,0.572021484375,117.8297251453504
26,27,21032,5483,80117,5552,16600,20065,332000000,35510,21032,6154,84128,5863,116392,197917,4096,1224,3.34640522875817,0.298828125,0.701171875,82.78922161992654
27,28,23460,4220,86405,8530,22025,20737,394950000,31862,23460,59976,93840,9071,134032,272355,4096,1172,3.4948805460750854,0.2861328125,0.7138671875,79.91693775008028
28,29,22928,4289,85878,4299,20000,24335,391496944,30128,22928,4851,91712,4329,182502,257511,4096,1667,2.457108578284343,0.40698242187500006,0.593017578125,111.23652609590262
29,30,22158,5182,80587,5271,16800,20065,336000000,33867,22158,5773,88632,5543,140748,219475,4096,1421,2.8824771287825475,0.346923828125,0.653076171875,94.45992193052089
30,31,20501,5663,76053,5743,16900,20065,328370000,34247,20501,6395,82004,6114,115942,197255,4096,1240,3.303225806451613,0.302734375,0.697265625,83.68904608330917
31,32,20468,9832,75701,5843,17161,20747,333145837,34297,20468,6414,81872,6465,111953,202958,4096,1110,3.69009009009009,0.27099609375,0.72900390625,76.59015293666577
32,33,23298,4440,87630,4501,21849,24255,392862800,30048,23298,5252,93192,4781,145800,222422,4096,1338,3.0612855007473843,0.32666015625,0.67333984375,89.37868998667106
33,34,24280,4270,90935,4340,21936,24445,393913600,30078,24280,15284,97120,8369,172910,262904,4096,1595,2.568025078369906,0.389404296875,0.610595703125,106.02911765368805
34,35,23960,4260,88706,4330,20000,20066,391496944,34618,23960,4851,95840,4400,159861,235502,4096,1443,2.8385308385308385,0.352294921875,0.647705078125,95.85093802452651
35,36,19997,6133,73511,6043,20071,24174,337587923,30077,19997,6555,79988,6344,102321,184316,4096,1152,3.5555555555555554,0.28125,0.71875,78.83256380344932
36,37,21270,9391,79986,5472,16600,20747,332000000,34938,21270,5953,85080,6083,138472,224647,4096,1518,2.6982872200263506,0.37060546875,0.62939453125,100.74377022391403
37,38,23079,8539,87653,4360,20000,20767,400000000,33365,23079,4911,92316,4400,189568,269128,4096,1503,2.72521623419827,0.366943359375,0.633056640625,99.74586977050822
38,39,20121,5844,74298,6094,19724,24836,332327104,29537,20121,6625,80484,10193,101168,187093,4096,1378,2.972423802612482,0.33642578125,0.66357421875,91.79552565624287
39,40,21382,5191,79019,5211,21521,20075,367532400,34679,21382,5422,85528,5201,136738,215196,4096,1115,3.673542600896861,0.272216796875,0.727783203125,76.85470680888119
40,41,19985,6024,73795,6224,20071,20066,337587923,33325,19985,6706,79940,6304,92349,178002,4096,1110,3.69009009009009,0.27099609375,0.72900390625,76.59015293666577
41,42,22792,4130,86839,4280,20000,20065,391496944,34218,22792,4801,91168,4360,174033,249033,4096,1630,2.5128834355828222,0.39794921875,0.60205078125,108.52686071095108
42,43,22088,4280,81414,8540,20000,20807,400000000,30108,22088,4641,88352,8109,157576,237166,4096,1370,2.98978102189781,0.33447265625,0.66552734375,91.30751140967602
43,44,22190,4661,81044,5232,21681,20055,373291600,33906,22190,5372,88760,4801,197696,274981,4096,1440,2.8444444444444446,0.3515625,0.6484375,95.66011357235332
