ВМ 2: время

+----------+-----------------------------+----------------+
| Страница | Метод скользящего окна (нс) | Обработка (нс) |
+----------+-----------------------------+----------------+
|    1     |             3546            |     69537      |
|    2     |             3416            |     11890      |
|    3     |             3406            |     11970      |
|    4     |             3415            |     11700      |
|    5     |             3426            |     12031      |
|    6     |             3426            |     11730      |
|    7     |             3426            |     11890      |
|    8     |             3426            |     15796      |
|    9     |             3446            |     12090      |
|    10    |             3406            |     15746      |
|    11    |             3906            |     12241      |
|    12    |             3456            |     15826      |
|    13    |             3676            |     12081      |
|    14    |             7423            |     15867      |
|    15    |             3416            |     11719      |
|    16    |             3425            |     12151      |
|    17    |             3435            |     11590      |
|    18    |             3446            |     12450      |
|    19    |             3415            |     16388      |
|    20    |             3436            |     11950      |
|    21    |             3406            |     15776      |
|    22    |             3936            |     12601      |
|    23    |             3426            |     15876      |
|    24    |             3425            |     11830      |
|    25    |             7854            |     16237      |
|    26    |             3416            |     11629      |
|    27    |             3426            |     11790      |
|    28    |             3436            |     11590      |
|    29    |             3406            |     11740      |
|    30    |             3416            |     12030      |
|    31    |             3386            |     11920      |
|    32    |             3395            |     12051      |
|    33    |             3436            |     11599      |
|    34    |             3436            |     11689      |
|    35    |             3445            |     12521      |
|    36    |             3435            |     12010      |
|    37    |             3406            |     12561      |
|    38    |             3416            |     16438      |
|    39    |             3656            |     12701      |
|    40    |             3415            |     16208      |
|    41    |             3796            |     12211      |
|    42    |             7423            |     16327      |
|    43    |             3436            |     11759      |
|    44    |             7442            |     16007      |
|    45    |             3416            |     12150      |
|    46    |             3406            |     11739      |
|    47    |             3426            |     12181      |
+----------+-----------------------------+----------------+
